rank,source_key,organization,domain,country,geographic_scope,category,priority_score,trust_score,payment_clarity,automation_fit,execution_fit,payment_types,currencies,official_api,public_json,requires_login,reachable,http_status,recommended_action,url
1,topcoder,Topcoder,topcoder.com,United States,global,competitions,94.36,89,90,80,88,money,USD,True,True,False,True,200,build_official_api_adapter,https://www.topcoder.com/challenges
2,kaggle,Kaggle,kaggle.com,United States,global,data_competitions,92.04,94,86,86,72,money|recognition,USD,True,True,False,True,200,build_official_api_adapter,https://www.kaggle.com/competitions
3,freelancer,Freelancer,freelancer.com,Australia,global,freelance_projects,90.28,86,90,70,94,money|contract,USD|multiple,True,True,True,True,200,build_official_api_adapter,https://www.freelancer.com/jobs
4,gitcoin,Gitcoin,gitcoin.co,Global,global,web3_grants,88.92,86,82,80,74,crypto|grant,ETH|USDC|crypto,True,True,False,True,200,build_official_api_adapter,https://gitcoin.co
5,world_bank,World Bank,worldbank.org,Global,global,rfp_and_procurement,88.36,99,88,82,52,contract|consulting,USD|multiple,True,True,False,True,200,build_official_api_adapter,https://projects.worldbank.org/en/projects-operations/procurement
6,sam_gov,SAM.gov,sam.gov,United States,united_states,rfp_and_procurement,86.16,99,92,92,48,contract,USD,True,True,False,True,200,build_official_api_adapter,https://sam.gov/content/opportunities
7,ted_eu,Tenders Electronic Daily,ted.europa.eu,European Union,europe,rfp_and_procurement,86.16,99,90,92,50,contract,EUR,True,True,False,True,202,build_official_api_adapter,https://ted.europa.eu
8,uk_contracts_finder,UK Contracts Finder,find-tender.service.gov.uk,United Kingdom,united_kingdom,rfp_and_procurement,85.44,99,90,88,50,contract,GBP,True,True,False,True,200,build_official_api_adapter,https://www.find-tender.service.gov.uk/Search
9,upwork,Upwork,upwork.com,United States,global,freelance_projects,85.26,90,92,55,96,money|contract,USD,True,False,True,True,403,build_official_api_adapter,https://www.upwork.com/nx/search/jobs
10,compras_gov_br,Compras.gov.br,gov.br,Brazil,brazil,rfp_and_procurement,84.8,99,88,82,54,contract,BRL,True,True,False,True,200,build_official_api_adapter,https://www.gov.br/compras/pt-br
11,superteam,Superteam Earn,earn.superteam.fun,Global,global,web3_bounties,84.7,83,90,75,90,crypto|stablecoin,USDC|SOL,False,True,False,True,200,build_public_json_adapter,https://earn.superteam.fun
12,eu_funding,European Commission,ec.europa.eu,European Union,europe,government_grants,83.84,99,88,84,48,grant|contract,EUR,True,True,False,True,200,build_official_api_adapter,https://ec.europa.eu/info/funding-tenders/opportunities/portal
13,hackerone,HackerOne,hackerone.com,United States,global,security_bounties,77.96,94,88,65,55,money,USD,True,False,True,True,200,build_official_api_adapter,https://hackerone.com/opportunities/all
14,dorahacks,DoraHacks,dorahacks.io,Global,global,web3_competitions,76.04,84,84,70,78,crypto|money|grant,USD|USDC|crypto,False,False,False,True,200,investigate_public_access_then_build_adapter,https://dorahacks.io/hackathon
15,challenge_gov,Challenge.gov,challenge.gov,United States,united_states,government_competitions,75.32,99,90,74,70,money|prize,USD,False,False,False,True,200,investigate_public_access_then_build_adapter,https://www.challenge.gov
16,braintrust,Braintrust,usebraintrust.com,United States,global,freelance_projects,74.5,85,88,55,92,money|contract,USD,False,False,True,True,200,investigate_public_access_then_build_adapter,https://www.usebraintrust.com
17,un_global_marketplace,United Nations Global Marketplace,ungm.org,Global,global,rfp_and_procurement,73.98,99,87,70,52,contract|consulting,USD|EUR|multiple,False,False,False,True,200,investigate_public_access_then_build_adapter,https://www.ungm.org/Public/Notice
18,contra,Contra,contra.com,United States,global,freelance_projects,73.86,84,86,55,92,money|contract,USD,False,False,True,True,200,investigate_public_access_then_build_adapter,https://contra.com/opportunities
19,ycombinator_jobs,Y Combinator,ycombinator.com,United States,global,startup_contracts,73.64,92,74,60,78,salary|contract,USD|multiple,False,False,False,True,200,investigate_public_access_then_build_adapter,https://www.ycombinator.com/jobs
20,questbook,Questbook,questbook.app,Global,global,web3_grants,71.5,79,82,65,68,crypto|grant,USDC|crypto,False,False,False,True,200,investigate_public_access_then_build_adapter,https://questbook.app
21,austender,AusTender,tenders.gov.au,Australia,australia,rfp_and_procurement,70.92,99,90,74,50,contract,AUD,False,False,False,True,200,investigate_public_access_then_build_adapter,https://www.tenders.gov.au
