id,status,source,title,reward,url,complexity,estimated_minutes,submitted_at,paid_at,amount_received
1,DISCOVERED,GitHub,[2 USDC] Select the safest funded bounty for an agent,,https://github.com/NSPG13/agent-bounties/issues/359,,,,,
2,DISCOVERED,GitHub,[Bounty] [1 USDC standing meta] Seed a paid CLI child bounty,,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/514,,,,,
3,DISCOVERED,GitHub,[Bounty] [1 USDC standing meta] Seed a paid API child bounty,,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/513,,,,,
4,DISCOVERED,GitHub,[Bounty] [1 USDC standing meta] Seed a paid distribution tooling child bounty,,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/510,,,,,
5,DISCOVERED,GitHub,[Bounty] [1 USDC standing meta] Seed a paid MCP child bounty,,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/511,,,,,
6,DISCOVERED,GitHub,[Bounty] [1 USDC standing meta] Seed a paid wallet UX child bounty,,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/512,,,,,
7,DISCOVERED,GitHub,[aLexzzz430/Cognitive-OS] [ Bounty $3k ] [ Research ] Collect and compare AI-generated,,https://github.com/Vikingr2023/awesome-agent-bounties/issues/167,,,,,
8,DISCOVERED,GitHub,Feedback Wanted - help test the v3 Release Candidate!,,https://github.com/Boeing/config-file-validator/issues/551,,,,,
9,DISCOVERED,GitHub,Add reusable Copy Code button component (copy-code-btn-hr18),,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49461,,,,,
10,DISCOVERED,GitHub,feat: add ease-robotics-dashboard submission,,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49460,,,,,
11,DISCOVERED,GitHub,"[Bug]: Media error when selecting some playlist in ""Add Media"" menu",,https://github.com/isyuricunha/yumusic-garmin-music-app/issues/21,,,,,
12,DISCOVERED,GitHub,[help],,https://github.com/codevoyager-ai-dev/codevoyager-ai-dev/issues/2,,,,,
13,DISCOVERED,GitHub,Add Next.js App Router import placement pitfalls guide (ease-nextjs-i…,,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49459,,,,,
14,DISCOVERED,GitHub,[Good First Issue] 🗻 Add new Japan Fact 235 - Beginner-Friendly Open-source Contribution,,https://github.com/lingdojo/kana-dojo/issues/24953,,,,,
15,DISCOVERED,GitHub,Icon and Bind test on macOS/Linux,,https://github.com/FedericoSpada/Custom2kinter/issues/18,,,,,
16,DISCOVERED,GitHub,feat: add ease-robot-arm-simulator submission,,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49458,,,,,
17,DISCOVERED,GitHub,fix(theme): support custom spacing for 4.5 to size history avatars,,https://github.com/Sanket-103-pvt/Git-Stats/pull/105,,,,,
18,DISCOVERED,GitHub,Improve discoverability of assigning and creating environments from the Connections table,,https://github.com/meshery/meshery/issues/20761,,,,,
19,DISCOVERED,GitHub,Implement PowerPoint support (OfficeAgent.PowerPoint),,https://github.com/ilia-sokolov/OfficeAgent.NET/issues/6,,,,,
20,DISCOVERED,GitHub,Implement Excel format support (OfficeAgent.Excel),,https://github.com/ilia-sokolov/OfficeAgent.NET/issues/5,,,,,
21,DISCOVERED,GitHub,Add a CLI regression test for WordPress post planning dispatch,,https://github.com/yoldaolmak/Pictovap/issues/29,,,,,
22,DISCOVERED,GitHub,Add a WordPress Gutenberg planning example profile and walkthrough,,https://github.com/yoldaolmak/Pictovap/issues/28,,,,,
23,DISCOVERED,GitHub,Return actionable WordPress read errors when a Gutenberg post cannot be fetched,,https://github.com/yoldaolmak/Pictovap/issues/27,,,,,
24,DISCOVERED,GitHub,Define and test WordPress planning behaviour for posts without H2 headings,,https://github.com/yoldaolmak/Pictovap/issues/26,,,,,
25,DISCOVERED,GitHub,Preserve inline-formatted Gutenberg heading text in placement targets,,https://github.com/yoldaolmak/Pictovap/issues/25,,,,,
26,DISCOVERED,GitHub,Add a realistic Gutenberg blocks fixture for VisualBrief regression tests,,https://github.com/yoldaolmak/Pictovap/issues/24,,,,,
27,DISCOVERED,GitHub,feat: add CSS Staggered Entrance Tooltip for Neumorphic Soft Layouts …,,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49457,,,,,
28,DISCOVERED,GitHub,feat: add 3d perspective tilt tooltip submission,,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49456,,,,,
29,DISCOVERED,GitHub,[Good First Issue] 🪭 Add new Theme: Wasabi Punch - Beginner-Friendly Open-source Contribution,,https://github.com/lingdojo/kana-dojo/issues/24952,,,,,
30,DISCOVERED,GitHub,Support radio-group and dropdown signer field types,,https://github.com/LiftedHoldings/lifted-sign/issues/23,,,,,
31,DISCOVERED,GitHub,Add a machine-readable (JSON) audit-trail export endpoint,,https://github.com/LiftedHoldings/lifted-sign/issues/22,,,,,
32,DISCOVERED,GitHub,Docs: add a troubleshooting / first-run FAQ page,,https://github.com/LiftedHoldings/lifted-sign/issues/21,,,,,
33,DISCOVERED,GitHub,SDKs: add methods for the webhook + template management endpoints,,https://github.com/LiftedHoldings/lifted-sign/issues/19,,,,,
34,DISCOVERED,GitHub,SDKs: retry with backoff on 429 / transient 5xx,,https://github.com/LiftedHoldings/lifted-sign/issues/18,,,,,
35,DISCOVERED,GitHub,SDKs: add a webhook signature-verification helper,,https://github.com/LiftedHoldings/lifted-sign/issues/17,,,,,
36,DISCOVERED,GitHub,feat: add CSS Spring Physics Tooltip for Cyberpunk Neon Layouts #46290,,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49455,,,,,
37,DISCOVERED,GitHub,Add repeatable Azure Container Apps deployment,,https://github.com/ilia-sokolov/OfficeAgent.NET/issues/4,,,,,
38,DISCOVERED,GitHub,Feedback Wanted - help test the v3 Release Candidate!,,https://github.com/Boeing/config-file-validator/issues/551,,,,,
39,DISCOVERED,GitHub,Add reusable Copy Code button component (copy-code-btn-hr18),,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49461,,,,,
40,DISCOVERED,GitHub,feat: add ease-robotics-dashboard submission,,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49460,,,,,
41,DISCOVERED,GitHub,fix(i18n): localize medicine schedule subpages (Fixes #2911),,https://github.com/RatLoopz/sahidawa-india/pull/3717,,,,,
42,DISCOVERED,GitHub,perf: parallelize `probe_batch` / `probe_batch_cached` with Rayon,,https://github.com/d-o-hub/chaotic_semantic_memory/issues/522,,,,,
43,DISCOVERED,GitHub,Add Next.js App Router import placement pitfalls guide (ease-nextjs-i…,,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49459,,,,,
44,DISCOVERED,GitHub,[Good First Issue] 🗻 Add new Japan Fact 235 - Beginner-Friendly Open-source Contribution,,https://github.com/lingdojo/kana-dojo/issues/24953,,,,,
45,DISCOVERED,GitHub,Tag/label tasks by repo or project and filter spend reports,,https://github.com/voly-codes/voly/issues/9,,,,,
46,DISCOVERED,GitHub,feat: add ease-robot-arm-simulator submission,,https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49458,,,,,
47,DISCOVERED,GitHub,Replace 'Load More >>>' by overloaded 'Next >',,https://github.com/JabRef/jabref/pull/16278,,,,,
48,DISCOVERED,GitHub,Record which engine produced the report in execution metadata,,https://github.com/AndreaBozzo/dataprof/issues/434,,,,,
49,DISCOVERED,GitHub,Add a CLI regression test for WordPress post planning dispatch,,https://github.com/yoldaolmak/Pictovap/issues/29,,,,,
50,DISCOVERED,GitHub,Add a WordPress Gutenberg planning example profile and walkthrough,,https://github.com/yoldaolmak/Pictovap/issues/28,,,,,
