id,title,source_name,category,url,reward_amount,reward_currency,eligibility_status,eligibility_reason,international_eligibility,individual_eligibility,registration_required,technical_difficulty,estimated_hours,time_to_revenue_days,success_probability,expected_value_usd,effort_adjusted_score,human_approval_required
240,Ethena,Immunefi,authorized_bug_bounty,https://immunefi.com/bug-bounty/ethena/information/,3000000.0,USD,specialist_only,KYC ou verificação de identidade foi identificado.; Prova de conceito técnica pode ser obrigatória.; O programa possui escopo e regras oficiais.; Somente testes explicitamente autorizados e dentro do escopo são permitidos.,program_specific,likely_allowed_subject_to_rules,1,very_high,150.0,45,0.0016,4800.0,32.0,1
238,DeXe Protocol,Immunefi,authorized_bug_bounty,https://immunefi.com/bug-bounty/dexeprotocol/information/,500000.0,USD,specialist_only,KYC ou verificação de identidade foi identificado.; Prova de conceito técnica pode ser obrigatória.; O programa possui escopo e regras oficiais.; Somente testes explicitamente autorizados e dentro do escopo são permitidos.,program_specific,likely_allowed_subject_to_rules,1,very_high,150.0,45,0.0016,800.0,5.3333,1
239,ENS,Immunefi,authorized_bug_bounty,https://immunefi.com/bug-bounty/ens/information/,250000.0,USD,specialist_only,KYC ou verificação de identidade foi identificado.; Prova de conceito técnica pode ser obrigatória.; O programa possui escopo e regras oficiais.; Somente testes explicitamente autorizados e dentro do escopo são permitidos.,program_specific,likely_allowed_subject_to_rules,1,very_high,150.0,45,0.0016,400.0,2.6667,1
243,Lombard Finance,Immunefi,authorized_bug_bounty,https://immunefi.com/bug-bounty/lombard-finance/information/,250000.0,USD,specialist_only,KYC ou verificação de identidade foi identificado.; Prova de conceito técnica pode ser obrigatória.; O programa possui escopo e regras oficiais.; Somente testes explicitamente autorizados e dentro do escopo são permitidos.,program_specific,likely_allowed_subject_to_rules,1,very_high,150.0,45,0.0016,400.0,2.6667,1
244,SSV Network,Immunefi,authorized_bug_bounty,https://immunefi.com/bug-bounty/ssvnetwork/information/,250000.0,USD,specialist_only,KYC ou verificação de identidade foi identificado.; Prova de conceito técnica pode ser obrigatória.; O programa possui escopo e regras oficiais.; Somente testes explicitamente autorizados e dentro do escopo são permitidos.,program_specific,likely_allowed_subject_to_rules,1,very_high,150.0,45,0.0016,400.0,2.6667,1
245,StackingDAO,Immunefi,authorized_bug_bounty,https://immunefi.com/bug-bounty/stackingdao/information/,100000.0,USD,specialist_only,Prova de conceito técnica pode ser obrigatória.; O programa possui escopo e regras oficiais.; Somente testes explicitamente autorizados e dentro do escopo são permitidos.,program_specific,likely_allowed_subject_to_rules,0,very_high,150.0,45,0.0016,160.0,1.0667,1
247,Zest Protocol V2,Immunefi,authorized_bug_bounty,https://immunefi.com/bug-bounty/zest-protocol-v2/information/,100000.0,USD,specialist_only,Prova de conceito técnica pode ser obrigatória.; O programa possui escopo e regras oficiais.; Somente testes explicitamente autorizados e dentro do escopo são permitidos.,program_specific,likely_allowed_subject_to_rules,0,very_high,150.0,45,0.0016,160.0,1.0667,1
242,Immunefi,Immunefi,authorized_bug_bounty,https://immunefi.com/bug-bounty/immunefi/information/,50000.0,USD,specialist_only,KYC ou verificação de identidade foi identificado.; Prova de conceito técnica pode ser obrigatória.; O programa possui escopo e regras oficiais.; Somente testes explicitamente autorizados e dentro do escopo são permitidos.,program_specific,likely_allowed_subject_to_rules,1,very_high,150.0,45,0.0016,80.0,0.5333,1
246,The Graph,Immunefi,authorized_bug_bounty,https://immunefi.com/bug-bounty/thegraph/information/,50000.0,USD,specialist_only,KYC ou verificação de identidade foi identificado.; Prova de conceito técnica pode ser obrigatória.; O programa possui escopo e regras oficiais.; Somente testes explicitamente autorizados e dentro do escopo são permitidos.,program_specific,likely_allowed_subject_to_rules,1,very_high,150.0,45,0.0016,80.0,0.5333,1
241,Hedera,Immunefi,authorized_bug_bounty,https://immunefi.com/bug-bounty/hedera/information/,30000.0,USD,specialist_only,KYC ou verificação de identidade foi identificado.; Prova de conceito técnica pode ser obrigatória.; O programa possui escopo e regras oficiais.; Somente testes explicitamente autorizados e dentro do escopo são permitidos.,program_specific,likely_allowed_subject_to_rules,1,very_high,150.0,45,0.0016,48.0,0.32,1
6,Mathematical Foundations of Artificial Intelligence,Grants.gov API,grant,https://www.grants.gov/search-results-detail/353936,,USD,manual_eligibility_review,"Elegibilidade internacional não pôde ser confirmada.; Candidatura individual não foi confirmada.; Cadastro institucional, Grants.gov, SAM.gov ou UEI pode ser obrigatório.",unknown,not_confirmed,1,very_high,100.0,240,0.015,0.0,0.0,1
11,Pax Silica Artificial Intelligence Assistance Project,Grants.gov API,grant,https://www.grants.gov/search-results-detail/363027,,USD,manual_eligibility_review,"Elegibilidade internacional não pôde ser confirmada.; Candidatura individual não foi confirmada.; Cadastro institucional, Grants.gov, SAM.gov ou UEI pode ser obrigatório.",unknown,not_confirmed,1,very_high,100.0,240,0.015,0.0,0.0,1
16,Cybersecurity Innovation for Cyberinfrastructure,Grants.gov API,grant,https://www.grants.gov/search-results-detail/358004,,USD,manual_eligibility_review,"Elegibilidade internacional não pôde ser confirmada.; Candidatura individual não foi confirmada.; Cadastro institucional, Grants.gov, SAM.gov ou UEI pode ser obrigatório.",unknown,not_confirmed,1,very_high,100.0,240,0.015,0.0,0.0,1
34,Interdisciplinary Transportation Law and Policy Technology Training Development,Grants.gov API,grant,https://www.grants.gov/search-results-detail/362960,,USD,manual_eligibility_review,"Elegibilidade internacional não pôde ser confirmada.; Candidatura individual não foi confirmada.; Cadastro institucional, Grants.gov, SAM.gov ou UEI pode ser obrigatório.; A oportunidade aparenta exigir capacidade institucional ou científica.",unknown,not_confirmed,1,very_high,140.0,240,0.0105,0.0,0.0,1
36,Public Wireless Supply Chain Innovation Fund Grant Program &ndash; Solutions for AI-Native RAN,Grants.gov API,grant,https://www.grants.gov/search-results-detail/363179,,USD,manual_eligibility_review,"Elegibilidade internacional não pôde ser confirmada.; Candidatura individual não foi confirmada.; Cadastro institucional, Grants.gov, SAM.gov ou UEI pode ser obrigatório.",unknown,not_confirmed,1,very_high,100.0,240,0.015,0.0,0.0,1
44,Boosting Innovative GEOINT - Science &amp; Technology Broad Agency Announcement (BIG-ST BAA),Grants.gov API,grant,https://www.grants.gov/search-results-detail/351404,,USD,manual_eligibility_review,"Elegibilidade internacional não pôde ser confirmada.; Candidatura individual não foi confirmada.; Cadastro institucional, Grants.gov, SAM.gov ou UEI pode ser obrigatório.; A oportunidade aparenta exigir capacidade institucional ou científica.",unknown,not_confirmed,1,very_high,140.0,240,0.0105,0.0,0.0,1
