issue_number,selected_at,selected_by,status,truth_rank,truth_status,title,source,url,reward_amount,reward_currency,reward_basis,payment_method,kyc_required,truth_reason,recommended_action,execution_path
32,2026-08-27T20:39:44.669550+00:00,ainetwork-global,USER_SELECTED_FOR_ANALYSIS,20,AUTHORIZED_BUG_BOUNTY_REVIEW_REQUIRED,Zest Protocol V2,Immunefi,https://immunefi.com/bug-bounty/zest-protocol-v2/information/,100000.0,USD,maximum_advertised_reward,USDC,0,"Programa oficial identificado; revisar escopo, PoC, ativos e impactos elegíveis antes de qualquer teste exclusivamente local.",Revisar requisitos e autorizar a preparação.,validate_scope_then_run_local_security_review
33,2026-08-27T20:58:14.644501+00:00,ainetwork-global,USER_SELECTED_FOR_ANALYSIS,3,AUTHORIZED_BUG_BOUNTY_REVIEW_REQUIRED,StackingDAO,Immunefi,https://immunefi.com/bug-bounty/stackingdao/information/,100000.0,USD,maximum_advertised_reward,USDC,0,"Programa oficial identificado; revisar escopo, PoC, ativos e impactos elegíveis antes de qualquer teste exclusivamente local.",Revisar requisitos e autorizar a preparação.,validate_scope_then_run_local_security_review
34,2026-08-28T10:27:52+00:00,ainetwork-global,USER_SELECTED_FOR_ANALYSIS,6,AUTHORIZED_BUG_BOUNTY_REVIEW_REQUIRED,Hedera,Immunefi,https://immunefi.com/bug-bounty/hedera/information/,30000.0,USD,maximum_advertised_reward,USDC,1,"Programa oficial identificado; revisar escopo, PoC, ativos e impactos elegíveis, KYC antes de qualquer teste exclusivamente local.",Validar escopo oficial e preparar somente auditoria local.,validate_scope_then_run_local_security_review
41,2026-08-28T12:51:28.480012+00:00,ainetwork-global,USER_SELECTED_FOR_ANALYSIS,14,ACTIVE_WORK_CONFIRMATION_REQUIRED,Calculate the exact value of PI,GitHub Bounty Issues,https://github.com/xevrion-v2/agent-playground/issues/17,1000.0,USD,reported_amount_unverified,GitHub Sponsors,0,Há PR/trabalho ativo ou responsável atribuído; confirmar disponibilidade antes de desenvolver.,Confirmar com o mantenedor se novas submissões ainda são aceitas antes de qualquer trabalho.,confirm_availability_and_competition_before_development
42,2026-08-28T13:34:18.196803+00:00,ainetwork-global,USER_SELECTED_FOR_ANALYSIS,16,ACTIVE_WORK_CONFIRMATION_REQUIRED,Kendraio App MusicBrainz integration (bounty),GitHub Bounty Issues,https://github.com/kendraio/kendraio-app/issues/184,500.0,USD,reported_amount_unverified,GitHub Sponsors,0,Há 1 PR(s) concorrente(s) relacionado(s) (#614); confirmar disponibilidade antes de desenvolver.,Confirmar com o mantenedor se novas submissões ainda são aceitas antes de qualquer trabalho.,confirm_availability_and_competition_before_development
43,2026-08-28T13:34:38.366766+00:00,ainetwork-global,USER_SELECTED_FOR_ANALYSIS,36,LIVE_CHECK_RETRY_REQUIRED,🎯 Bounty Alert: 30 New Opportunities — 2026-07-14 10:46 UTC,AI Agent Bounties,https://github.com/greyw0rks/bountyscout/issues/256,28.4,USD,reported_amount_unverified,GitHub Sponsors,0,Falha temporária na validação ao vivo: HTTPError.,"Preparar candidatura, proposta ou prova de conceito.",retry_live_validation_then_reassess
44,2026-08-28T13:35:30.703423+00:00,ainetwork-global,USER_SELECTED_FOR_ANALYSIS,5,AUTHORIZED_BUG_BOUNTY_REVIEW_REQUIRED,Immunefi,Immunefi,https://immunefi.com/bug-bounty/immunefi/information/,50000.0,USD,maximum_advertised_reward,USDC,1,"Programa oficial identificado; revisar escopo, PoC, ativos e impactos elegíveis, KYC antes de qualquer teste exclusivamente local.",Revisar requisitos e autorizar a preparação.,validate_scope_then_run_local_security_review
45,2026-08-28T16:42:50.373955+00:00,ainetwork-global,USER_SELECTED_FOR_ANALYSIS,21,LIVE_CHECK_RETRY_REQUIRED,🎯 Bounty Alert: 31 New Opportunities — 2026-07-15 03:21 UTC,AI Agent Bounties,https://github.com/greyw0rks/bountyscout/issues/265,150.0,USD,reported_amount_unverified,GitHub Sponsors,0,Falha temporária na validação ao vivo: HTTPError.,"Preparar candidatura, proposta ou prova de conceito.",retry_live_validation_then_reassess
47,2026-08-28T16:43:18.771080+00:00,ainetwork-global,USER_SELECTED_FOR_ANALYSIS,21,LIVE_CHECK_RETRY_REQUIRED,🎯 Bounty Alert: 31 New Opportunities — 2026-07-15 03:21 UTC,AI Agent Bounties,https://github.com/greyw0rks/bountyscout/issues/265,150.0,USD,reported_amount_unverified,GitHub Sponsors,0,Falha temporária na validação ao vivo: HTTPError.,"Preparar candidatura, proposta ou prova de conceito.",retry_live_validation_then_reassess
48,2026-08-28T16:43:32.376022+00:00,ainetwork-global,USER_SELECTED_FOR_ANALYSIS,45,ACTIVE_WORK_CONFIRMATION_REQUIRED,dokploy#1413 Organisation and Teams Management,Algora Open Bounties,https://github.com/Dokploy/dokploy/issues/1413,100.0,USD,reported_amount_unverified,Algora,1,Há PR/trabalho ativo ou responsável atribuído; confirmar disponibilidade antes de desenvolver.,Confirmar com o mantenedor se novas submissões ainda são aceitas antes de qualquer trabalho.,confirm_availability_and_competition_before_development
52,2026-08-28T16:44:36.227004+00:00,ainetwork-global,USER_SELECTED_FOR_ANALYSIS,2,AUTHORIZED_BUG_BOUNTY_REVIEW_REQUIRED,DeXe Protocol,Immunefi,https://immunefi.com/bug-bounty/dexeprotocol/information/,500000.0,USD,maximum_advertised_reward,USDC,1,"Programa oficial identificado; revisar escopo, PoC, ativos e impactos elegíveis, KYC antes de qualquer teste exclusivamente local.",Revisar requisitos e autorizar a preparação.,validate_scope_then_run_local_security_review
