truth_rank,truth_status,truth_reason,live_state,comments,open_competing_prs,reward_basis,source_validation,rank,queue_status,verification_score,priority_score,title,category,source,url,reward_amount,reward_currency,payment_method,difficulty,estimated_hours,risk_level,country_eligibility,country_restrictions,kyc_required,human_approval_required,verification_status,recommended_action,recommendation_reason,verified_at,eligibility_status
1,SOURCE_REVIEW_REQUIRED,Fonte externa ainda exige validação específica da plataforma.,external_source,0,,reported_amount_unverified,unverified,1,READY_FOR_TECHNICAL_REVIEW,85.5,100.0,https://www.drivendata.org/competitions/52/anomaly-detection-electricity/,ai_data_competition,DrivenData Prize Competitions,https://www.drivendata.org/competitions/52/anomaly-detection-electricity/,26000.0,EUR,Transferência bancária,alta,80.0,baixo,BRAZIL_LIKELY_ELIGIBLE,Eligibility The Competition is open to all individuals over the age of 18 at the time of entry and to all validly formed legal entities that have not declared or been decl,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-09-05T19:56:55.085518+00:00,
2,SOURCE_REVIEW_REQUIRED,Fonte externa ainda exige validação específica da plataforma.,external_source,0,,reported_amount_unverified,unverified,2,READY_FOR_TECHNICAL_REVIEW,86.5,100.0,https://www.drivendata.org/competitions/55/schneider-cold-start/,ai_data_competition,DrivenData Prize Competitions,https://www.drivendata.org/competitions/55/schneider-cold-start/,23000.0,EUR,Transferência bancária,alta,80.0,baixo,BRAZIL_LIKELY_ELIGIBLE,Eligibility The Competition is open to all individuals over the age of 18 at the time of entry and to all validly formed legal entities that have not declared or been decl,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-09-05T19:56:37.027196+00:00,
3,SOURCE_REVIEW_REQUIRED,Fonte externa ainda exige validação específica da plataforma.,external_source,0,,reported_amount_unverified,unverified,3,READY_FOR_TECHNICAL_REVIEW,86.5,100.0,https://www.drivendata.org/competitions/53/optimize-photovoltaic-battery/,ai_data_competition,DrivenData Prize Competitions,https://www.drivendata.org/competitions/53/optimize-photovoltaic-battery/,23000.0,EUR,Transferência bancária,alta,80.0,baixo,BRAZIL_LIKELY_ELIGIBLE,Eligibility The Competition is open to all individuals over the age of 18 at the time of entry and to all validly formed legal entities that have not declared or been decl,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-09-05T19:56:36.536990+00:00,
4,SOURCE_REVIEW_REQUIRED,Fonte externa ainda exige validação específica da plataforma.,external_source,0,,reported_amount_unverified,unverified,4,READY_FOR_TECHNICAL_REVIEW,86.5,100.0,https://www.drivendata.org/competitions/51/electricity-prediction-machine-learning/,ai_data_competition,DrivenData Prize Competitions,https://www.drivendata.org/competitions/51/electricity-prediction-machine-learning/,23000.0,EUR,Transferência bancária,alta,80.0,baixo,BRAZIL_LIKELY_ELIGIBLE,Eligibility The Competition is open to all individuals over the age of 18 at the time of entry and to all validly formed legal entities that have not declared or been decl,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-09-05T19:56:36.104107+00:00,
5,BLOCKED_REWARD_CONTEXT_FALSE_POSITIVE,O valor encontrado não aparece em contexto explícito de prêmio/pagamento.,open,0,,reported_amount_unverified,unverified,8,ELIGIBILITY_REVIEW_REQUIRED,85.7,100.0,senddigidollar: integer-vs-decimal amount ambiguity is a 100× footgun,ai_integration,MCP Paid Opportunities,https://github.com/DigiByte-Core/digibyte/issues/424,10000.0,USD,GitHub Sponsors,alta,80.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:06.414234+00:00,
6,AUTHORIZED_BUG_BOUNTY_REVIEW_REQUIRED,"Programa oficial identificado; revisar escopo, PoC, ativos e impactos elegíveis, KYC antes de qualquer teste exclusivamente local.",official_program,0,,maximum_advertised_reward,official_adapter,49,IDENTITY_REVIEW_REQUIRED,84.75,100.0,DeXe Protocol,authorized_bug_bounty,Immunefi,https://immunefi.com/bug-bounty/dexeprotocol/information/,500000.0,USD,USDC,alta,80.0,baixo,UNKNOWN_REVIEW_REQUIRED,Eligibility: Authorized program; inspect scope before testing,1,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-27T12:27:35.440989+00:00,specialist_only
7,AUTHORIZED_BUG_BOUNTY_REVIEW_REQUIRED,"Programa oficial identificado; revisar escopo, PoC, ativos e impactos elegíveis antes de qualquer teste exclusivamente local.",official_program,0,,maximum_advertised_reward,official_adapter,50,IDENTITY_REVIEW_REQUIRED,84.75,100.0,StackingDAO,authorized_bug_bounty,Immunefi,https://immunefi.com/bug-bounty/stackingdao/information/,100000.0,USD,USDC,alta,80.0,baixo,UNKNOWN_REVIEW_REQUIRED,Eligibility: Authorized program; inspect scope before testing,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-27T12:27:37.745897+00:00,specialist_only
8,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,3,,reported_amount_unverified,unverified,51,IDENTITY_REVIEW_REQUIRED,85.7,100.0,Grant Application - Educating Communities by Educating Their Leaders,grant,GitHub Grant Issues,https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/356,50000.0,USD,GitHub Sponsors,alta,80.0,baixo,UNKNOWN_REVIEW_REQUIRED,,1,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:35:04.766319+00:00,
9,AUTHORIZED_BUG_BOUNTY_REVIEW_REQUIRED,"Programa oficial identificado; revisar escopo, PoC, ativos e impactos elegíveis, KYC antes de qualquer teste exclusivamente local.",official_program,0,,maximum_advertised_reward,official_adapter,52,IDENTITY_REVIEW_REQUIRED,84.75,100.0,Immunefi,authorized_bug_bounty,Immunefi,https://immunefi.com/bug-bounty/immunefi/information/,50000.0,USD,USDC,alta,80.0,baixo,UNKNOWN_REVIEW_REQUIRED,Eligibility: Authorized program; inspect scope before testing,1,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-27T12:27:38.981333+00:00,specialist_only
10,AUTHORIZED_BUG_BOUNTY_REVIEW_REQUIRED,"Programa oficial identificado; revisar escopo, PoC, ativos e impactos elegíveis, KYC antes de qualquer teste exclusivamente local.",official_program,0,,maximum_advertised_reward,official_adapter,53,IDENTITY_REVIEW_REQUIRED,84.75,100.0,Hedera,authorized_bug_bounty,Immunefi,https://immunefi.com/bug-bounty/hedera/information/,30000.0,USD,USDC,alta,80.0,baixo,UNKNOWN_REVIEW_REQUIRED,Eligibility: Authorized program; inspect scope before testing,1,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-27T12:27:40.052559+00:00,specialist_only
11,SOURCE_REVIEW_REQUIRED,Fonte externa ainda exige validação específica da plataforma.,external_source,0,,reported_amount_unverified,unverified,5,PAYMENT_ROUTE_REVIEW_REQUIRED,86.5,99.5,https://www.drivendata.org/competitions/148/visiomel-melanoma/,ai_data_competition,DrivenData Prize Competitions,https://www.drivendata.org/competitions/148/visiomel-melanoma/,25000.0,EUR,,alta,80.0,baixo,BRAZIL_LIKELY_ELIGIBLE,"Eligibility The Competition is open to all natural persons who are a legal resident of a country, state, province or territory within the Territory, are not the target of",0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-09-05T19:56:42.423827+00:00,
12,SOURCE_REVIEW_REQUIRED,Fonte externa ainda exige validação específica da plataforma.,external_source,0,,reported_amount_unverified,unverified,6,PAYMENT_ROUTE_REVIEW_REQUIRED,86.5,99.5,https://www.drivendata.org/competitions/67/competition-cervical-biopsy/,ai_data_competition,DrivenData Prize Competitions,https://www.drivendata.org/competitions/67/competition-cervical-biopsy/,25000.0,EUR,,alta,80.0,baixo,BRAZIL_LIKELY_ELIGIBLE,"Eligibility The Competition is open to all natural persons who, at the date of entry, are a legal resident of a country, state, province or territory within the Territory",0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-09-05T19:56:39.074028+00:00,
