source,repository,issue_number,title,url,discovery_score,discovery_priority,promotion_status,promotion_reason,economic_signal,amount_signal,claim_signal,completion_signal,zero_reward_signal,suspicious_signal,promotion_score,promotion_checked_at,canonical_key,organization,repository_name,source_url
github_search_api_candidates.csv,UnsafeLabs/Bounty-Hunters,914,[ Crypto ] Fix phantom reward accrual after period expiry in YieldVault,https://github.com/UnsafeLabs/Bounty-Hunters/issues/914,85,HIGH,PROMOTED,no_amount_signal,true,false,false,false,false,false,105.0,2026-07-18T18:46:19.938257+00:00,github:unsafelabs/bounty-hunters#914,UnsafeLabs,Bounty-Hunters,https://github.com/UnsafeLabs/Bounty-Hunters/issues/914
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,245,[Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [BUG] Blind SSRF via DNS Rebinding Bypass $1,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/245,50,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,95.0,2026-07-18T18:46:19.990246+00:00,github:zhangjiayang6835-cyber/bounty-plaza#245,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/245
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,201,[Bounty] [Bounty] [Bounty] [Bounty] [BUG] LDAP Injection → Anonymous Bind Bypass $120,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/201,50,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,95.0,2026-07-18T18:46:19.994245+00:00,github:zhangjiayang6835-cyber/bounty-plaza#201,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/201
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,191,[Bounty] [Bounty] [Bounty] [Bounty] [BUG] Blind SSRF via DNS Rebinding Bypass $150,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/191,50,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,95.0,2026-07-18T18:46:19.997245+00:00,github:zhangjiayang6835-cyber/bounty-plaza#191,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/191
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,186,[Bounty] [Bounty] [Bounty] [Bounty] [BUG] Bleichenbacher Oracle in RSA-OAEP Decryption $2,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/186,50,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,95.0,2026-07-18T18:46:19.998245+00:00,github:zhangjiayang6835-cyber/bounty-plaza#186,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/186
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,197,[Bounty] [Bounty] [Bounty] [Bounty] [BUG] Python Pickle Deserialization RCE via Cache $20,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/197,50,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,95.0,2026-07-18T18:46:19.999244+00:00,github:zhangjiayang6835-cyber/bounty-plaza#197,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/197
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,193,[Bounty] [Bounty] [Bounty] [Bounty] [BUG] Server-Side Prototype Pollution to RCE $200,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/193,50,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,95.0,2026-07-18T18:46:20.000245+00:00,github:zhangjiayang6835-cyber/bounty-plaza#193,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/193
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,194,[Bounty] [Bounty] [Bounty] [Bounty] [BUG] GraphQL Batch Query + Rate Limit Bypass $150,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/194,50,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,95.0,2026-07-18T18:46:20.000245+00:00,github:zhangjiayang6835-cyber/bounty-plaza#194,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/194
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,152,[Bounty] [Bounty] [Bounty] [BUG] Clickjacking via X-Frame-Options Missing → Crypto Withdr,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/152,70,HIGH,PROMOTED,no_amount_signal,true,false,false,false,false,false,90.0,2026-07-18T18:46:19.938257+00:00,github:zhangjiayang6835-cyber/bounty-plaza#152,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/152
github_search_api_candidates.csv,COS301-SE-2026/SpendSense,230,Quiz reward service: characterise existing payment reward behaviour with tests,https://github.com/COS301-SE-2026/SpendSense/issues/230,60,HIGH,PROMOTED,no_amount_signal,true,false,false,false,false,false,80.0,2026-07-18T18:46:19.940255+00:00,github:cos301-se-2026/spendsense#230,COS301-SE-2026,SpendSense,https://github.com/COS301-SE-2026/SpendSense/issues/230
