id,organization,title,algora_url,github_url,github_owner,github_repository,github_issue_number,reward_amount,reward_currency,skills,claim_count,candidate_score,verification_status
6,Dokploy,templates#152 Get Your Custom Dokploy Templates Built!,https://github.com/Dokploy/templates/issues/152,https://github.com/Dokploy/templates/issues/152,Dokploy,templates,152,1000.0,USD,,,85.0,staged
4,Dokploy,dokploy#1413 Organisation and Teams Management,https://github.com/Dokploy/dokploy/issues/1413,https://github.com/Dokploy/dokploy/issues/1413,Dokploy,dokploy,1413,100.0,USD,,,78.0,staged
25,arakoodev,EdgeChains#279 BOUNTY: add support for Google Palm2 API in javascript/typescript,https://github.com/arakoodev/EdgeChains/issues/279,https://github.com/arakoodev/EdgeChains/issues/279,arakoodev,EdgeChains,279,25.0,USD,"API, Java, JavaScript, TypeScript",,78.0,staged
26,arakoodev,EdgeChains#273 BOUNTY: add support for qdrant vector database in javascript sdk,https://github.com/arakoodev/EdgeChains/issues/273,https://github.com/arakoodev/EdgeChains/issues/273,arakoodev,EdgeChains,273,30.0,USD,"Java, JavaScript",,74.0,staged
45,tscircuit,pgstrap#2 Use pglite so that postgres isn't required when generating types,https://github.com/seveibar/pgstrap/issues/2,https://github.com/seveibar/pgstrap/issues/2,seveibar,pgstrap,2,30.0,USD,PostgreSQL,,72.0,staged
42,tscircuit,dsn-converter#54 We can't convert Smoothie Board to Circuit JSON,https://github.com/tscircuit/dsn-converter/issues/54,https://github.com/tscircuit/dsn-converter/issues/54,tscircuit,dsn-converter,54,70.0,USD,,,70.0,staged
46,tscircuit,autorouting#92 Multilayer Ijump: Remove wild trace jumps,https://github.com/tscircuit/autorouting/issues/92,https://github.com/tscircuit/autorouting/issues/92,tscircuit,autorouting,92,50.0,USD,,,70.0,staged
5,Dokploy,dokploy#416 Ability to backup to more destination types,https://github.com/Dokploy/dokploy/issues/416,https://github.com/Dokploy/dokploy/issues/416,Dokploy,dokploy,416,50.0,USD,,,70.0,staged
28,comet-ml,opik#1010 [FR]: UI - Ability to Annotate multiple traces at once within a Project,https://github.com/comet-ml/opik/issues/1010,https://github.com/comet-ml/opik/issues/1010,comet-ml,opik,1010,50.0,USD,,,70.0,staged
24,arakoodev,EdgeChains#290 BOUNTY: integrate AWS Comprehend as a utility to redact data,https://github.com/arakoodev/EdgeChains/issues/290,https://github.com/arakoodev/EdgeChains/issues/290,arakoodev,EdgeChains,290,25.0,USD,,,70.0,staged
43,tscircuit,tscircuit#1130 Change of color on hover for traces are missing,https://github.com/tscircuit/tscircuit/issues/1130,https://github.com/tscircuit/tscircuit/issues/1130,tscircuit,tscircuit,1130,25.0,USD,,,70.0,staged
29,coollabsio,coolify#6696 feat(oauth): add generic oidc provider,https://github.com/coollabsio/coolify/pull/6696,https://github.com/coollabsio/coolify/pull/6696,coollabsio,coolify,6696,20.0,USD,,,58.0,staged
40,highlight,highlight#8032 document sveltekit backend instrumentation,https://github.com/highlight/highlight/issues/8032,https://github.com/highlight/highlight/issues/8032,highlight,highlight,8032,20.0,USD,,,58.0,staged
44,tscircuit,pcb-viewer#163 Remove `disableAutoFocus` in favor of `focusOnHover={false}`,https://github.com/tscircuit/pcb-viewer/issues/163,https://github.com/tscircuit/pcb-viewer/issues/163,tscircuit,pcb-viewer,163,3.0,USD,,,58.0,staged
41,tscircuit,jlcsearch#92 Add `is_extended_promotional ` column to components (from data source),https://github.com/tscircuit/jlcsearch/issues/92,https://github.com/tscircuit/jlcsearch/issues/92,tscircuit,jlcsearch,92,1.0,USD,,,58.0,staged
