payment_confidence_score,payment_decision,normalized_repository,normalized_issue_number,normalized_title,reward_usd,estimated_hours,estimated_revenue_per_hour,normalized_source_name,normalized_url,positive_evidence,risk_evidence,hard_rejection_reasons,_source_file,source,title,organization,url,currency,minimum_amount,maximum_amount,expected_amount,payment_evidence,powershell_fit,cash_conversion_speed,estimated_value_per_hour,task_score,execution_score,execution_status,execution_reason,task_matches,fit_matches,complexity_matches,payment_evidence_score,platform_trust_score,clarity_score,technical_fit_score,competition_score,activity_score,roi_score,opportunity_id,category,reward_amount,reward_currency,deadline,requirements,capital_required,difficulty,risk_level,success_probability,verification_score,recommended_action,recommendation_reason,verification_status,human_approval_required,country_restrictions,kyc_required,payment_method,link_active,explicit_reward,verified_at,canonical_key,repository_name,issue_number,source_url,repository,discovery_score,discovery_priority,promotion_status,promotion_reason,economic_signal,amount_signal,claim_signal,completion_signal,zero_reward_signal,suspicious_signal,promotion_score,promotion_checked_at
91.0,AUTO_START_LOCAL_EXECUTION,johncollinsgit/TimberLine,70,"Front Yard Foods launch partner: proposal, agreements, recurring billing, and Shopify/Square architecture",299.0,8.0,37.38,github_paid_issues,https://github.com/johncollinsgit/TimberLine/issues/70,"recompensa explícita: 299.00 | trabalho técnico: api, cli, documentation, implement, implementation | repositório e issue identificados | concorrência aparente baixa","GitHub isolado, sem intermediador de pagamento comprovado",,01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\paid_task_execution_queue.csv,github_paid_issues,"Front Yard Foods launch partner: proposal, agreements, recurring billing, and Shopify/Square architecture",johncollinsgit/TimberLine,https://github.com/johncollinsgit/TimberLine/issues/70,USD,299.0,299.0,299.0,$299,0.95,100.0,37.38,242.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: windows, script, cli, api, json, data, documentation, integration","bounty, one-time, implement, implementation, script, api, integration, documentation, test, agent, workflow, cli","windows, script, cli, api, json, data, documentation, integration",mobile app,27.0,6,12.0,18.0,15,5.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.0,AUTO_START_LOCAL_EXECUTION,moorcheh-ai/memanto,770,[BOUNTY $100] 🐜The Memanto Bug & Exploit Challenge,100.0,4.0,25.0,github_paid_issues,https://github.com/moorcheh-ai/memanto/issues/770,"recompensa explícita: 100.00 | trabalho técnico: api, bug, cli, documentation, fix | repositório e issue identificados | concorrência aparente baixa","GitHub isolado, sem intermediador de pagamento comprovado",,01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\paid_task_execution_queue.csv,github_paid_issues,[BOUNTY $100] 🐜The Memanto Bug & Exploit Challenge,moorcheh-ai/memanto,https://github.com/moorcheh-ai/memanto/issues/770,USD,100.0,100.0,100.0,$100,0.95,90.0,25.0,306.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: script, cli, api, github, data, documentation, python, backend","bounty, reward, bug, fix, implement, implementation, script, python, api, documentation, test, pull request","script, cli, api, github, data, documentation, python, backend",,27.0,6,12.0,18.0,15,5.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.0,AUTO_START_LOCAL_EXECUTION,SecureBananaLabs/bug-bounty,743,Low Handing Fruit Automation,700.0,4.0,175.0,github_paid_issues,https://github.com/SecureBananaLabs/bug-bounty/issues/743,"recompensa explícita: 700.00 | trabalho técnico: bug, documentation | repositório e issue identificados | concorrência aparente baixa","GitHub isolado, sem intermediador de pagamento comprovado",,01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\paid_task_execution_queue.csv,github_paid_issues,Low Handing Fruit Automation,SecureBananaLabs/bug-bounty,https://github.com/SecureBananaLabs/bug-bounty/issues/743,USD,700.0,700.0,700.0,$700,0.95,90.0,175.0,154.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: automation, github, documentation","bounty, bug, automation, documentation, github issue, pull request, agent","automation, github, documentation",,30.0,6,12.0,8.0,15,5.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.5,AUTO_START_LOCAL_EXECUTION,Davidleeops/mcpscan,3,Approval: create Stripe Payment Links for paid audits,3500.0,8.0,437.5,MCP Paid Opportunities,https://github.com/Davidleeops/mcpscan/issues/3,"recompensa explícita: 3500.00 | trabalho técnico: integration, mcp | repositório e issue identificados | concorrência aparente baixa","GitHub isolado, sem intermediador de pagamento comprovado",,01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\verified_opportunities.csv,MCP Paid Opportunities,Approval: create Stripe Payment Links for paid audits,Davidleeops,https://github.com/Davidleeops/mcpscan/issues/3,,,,,,,,,,,,,,,,30.0,6,12.0,8.0,15,2.5,12,213,ai_integration,3500.0,USD,,signed in to change notification settings Fork 0 Star 0 Code Issues 5 Pull requests 1 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights Approval: create Stripe Payment Links for paid audits #3 New i,0,baixa,baixo,0.886,80.55,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",actionable,0,,0,"Stripe, GitHub Sponsors",1,1,2026-07-15T14:35:14.657370+00:00,github:davidleeops/mcpscan#3,mcpscan,3,https://github.com/Davidleeops/mcpscan/issues/3,,,,,,,,,,,,,
85.5,AUTO_START_LOCAL_EXECUTION,iamacoffeepot/aether,3439,chore(ci): retire qodana now that jscpd and cargo-machete cover its findings,2000.0,8.0,250.0,MCP Paid Opportunities,https://github.com/iamacoffeepot/aether/issues/3439,"recompensa explícita: 2000.00 | trabalho técnico: integration, mcp | repositório e issue identificados | concorrência aparente baixa","GitHub isolado, sem intermediador de pagamento comprovado",,01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\verified_opportunities.csv,MCP Paid Opportunities,chore(ci): retire qodana now that jscpd and cargo-machete cover its findings,iamacoffeepot,https://github.com/iamacoffeepot/aether/issues/3439,,,,,,,,,,,,,,,,30.0,6,12.0,8.0,15,2.5,12,72,ai_integration,2000.0,USD,,signed in to change notification settings Fork 0 Star 1 Code Issues 3 Pull requests 0 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights chore(ci): retire qodana now that jscpd and cargo-machete cove,0,baixa,médio,0.437,39.74,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,rejected,0,,0,GitHub Sponsors,1,1,2026-07-15T14:35:32.633091+00:00,github:iamacoffeepot/aether#3439,aether,3439,https://github.com/iamacoffeepot/aether/issues/3439,,,,,,,,,,,,,
85.5,AUTO_START_LOCAL_EXECUTION,DigiByte-Core/digibyte,424,senddigidollar: integer-vs-decimal amount ambiguity is a 100× footgun,10000.0,80.0,125.0,MCP Paid Opportunities,https://github.com/DigiByte-Core/digibyte/issues/424,"recompensa explícita: 10000.00 | trabalho técnico: integration, mcp | repositório e issue identificados | concorrência aparente baixa","GitHub isolado, sem intermediador de pagamento comprovado",,01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\verified_opportunities.csv,MCP Paid Opportunities,senddigidollar: integer-vs-decimal amount ambiguity is a 100× footgun,DigiByte-Core,https://github.com/DigiByte-Core/digibyte/issues/424,,,,,,,,,,,,,,,,30.0,6,12.0,8.0,15,2.5,12,214,ai_integration,10000.0,USD,,signed in to change notification settings Fork 91 Star 250 Code Issues 32 Pull requests 0 Discussions Actions Projects Wiki Security and quality 0 Insights Additional navigation options Code Issues Pull requests Discussions Actions Projects Wiki Security and quality Insights senddigidollar: integer-,0,alta,baixo,0.686,85.7,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",actionable,0,,0,GitHub Sponsors,1,1,2026-07-15T14:35:06.414234+00:00,github:digibyte-core/digibyte#424,digibyte,424,https://github.com/DigiByte-Core/digibyte/issues/424,,,,,,,,,,,,,
84.46,PAYMENT_VERIFIED_CANDIDATE,Nexussyn/ai-growth-platform,4,🔍 [Agent Task] Add Algora bounty discovery to runtime-opportunity-scout,3.0,5.0,0.6,github_paid_issues,https://github.com/Nexussyn/ai-growth-platform/issues/4,"recompensa explícita: 3.00 | plataforma de pagamento reconhecida: algora | trabalho técnico: api, integration | repositório e issue identificados | concorrência aparente baixa",retorno por hora baixo,,01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\paid_task_execution_queue.csv,github_paid_issues,🔍 [Agent Task] Add Algora bounty discovery to runtime-opportunity-scout,Nexussyn/ai-growth-platform,https://github.com/Nexussyn/ai-growth-platform/issues/4,USD,3.0,3.0,3.0,$3,0.87,90.0,0.6,114.0,89.17,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: api, github, data, integration","bounty, reward, api, integration, agent","api, github, data, integration",,23.0,20,12.0,8.0,15,4.46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.69,PAYMENT_VERIFIED_CANDIDATE,SecureBananaLabs/bug-bounty,80,Pixel Art Creation with high Creative Thinking,780.0,10.3,75.73,github_paid_issues,https://github.com/SecureBananaLabs/bug-bounty/issues/80,recompensa explícita: 780.00 | trabalho técnico: bug | repositório e issue identificados | concorrência aparente baixa,"GitHub isolado, sem intermediador de pagamento comprovado",,01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\paid_task_execution_queue.csv,github_paid_issues,Pixel Art Creation with high Creative Thinking,SecureBananaLabs/bug-bounty,https://github.com/SecureBananaLabs/bug-bounty/issues/80,USD,780.0,780.0,780.0,$780,0.9,90.0,75.73,92.0,93.71,priority_execution_review,Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: script,"bounty, bug, script, agent",script,pixel art,30.0,6,12.0,6.0,15,4.69,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.5,PAYMENT_VERIFIED_CANDIDATE,zhangjiayang6835-cyber/bounty-plaza,310,"[Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty $2,500] Optimise/i",2500.0,12.0,208.33,github_search_api_candidates.csv,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/310,recompensa explícita: 2500.00 | trabalho técnico: api | repositório e issue identificados | concorrência aparente baixa,"GitHub isolado, sem intermediador de pagamento comprovado",,01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\DISCOVERY_PROMOTED_QUEUE.csv,github_search_api_candidates.csv,"[Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty $2,500] Optimise/i",zhangjiayang6835-cyber,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/310,,,,,,,,,,,,,,,,30.0,6,12.0,6.0,15,2.5,12,,,,,,,,,,,,,,,,,,,,,,github:zhangjiayang6835-cyber/bounty-plaza#310,bounty-plaza,310,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/310,zhangjiayang6835-cyber/bounty-plaza,35,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,80.0,2026-07-18T18:46:20.013242+00:00
83.5,PAYMENT_VERIFIED_CANDIDATE,zhangjiayang6835-cyber/bounty-plaza,255,"[Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty $2,500] Optimise/improve ac",2500.0,12.0,208.33,github_search_api_candidates.csv,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/255,recompensa explícita: 2500.00 | trabalho técnico: api | repositório e issue identificados | concorrência aparente baixa,"GitHub isolado, sem intermediador de pagamento comprovado",,01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\DISCOVERY_PROMOTED_QUEUE.csv,github_search_api_candidates.csv,"[Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty $2,500] Optimise/improve ac",zhangjiayang6835-cyber,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/255,,,,,,,,,,,,,,,,30.0,6,12.0,6.0,15,2.5,12,,,,,,,,,,,,,,,,,,,,,,github:zhangjiayang6835-cyber/bounty-plaza#255,bounty-plaza,255,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/255,zhangjiayang6835-cyber/bounty-plaza,35,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,80.0,2026-07-18T18:46:20.014242+00:00
