rank,source,title,reward,currency,payment_type,estimated_hours,payment_probability,execution_probability,eligibility_probability,receipt_probability,expected_receivable_value,revenue_velocity,direct_executability_score,queue_priority,requires_human_action,status,url,source_file,source_row,generated_at
1,GitHub Grant Issues,Grant Application - Educating Communities by Educating Their Leaders,50000.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,8662.5,2165.625,63.75,216626.25,True,pending_human_review,https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/356,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,8,2026-07-17T19:32:34.131310+00:00
2,MCP Paid Opportunities,senddigidollar: integer-vs-decimal amount ambiguity is a 100× footgun,10000.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,1732.5,433.125,63.75,43376.25,True,pending_human_review,https://github.com/DigiByte-Core/digibyte/issues/424,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,9,2026-07-17T19:32:34.131310+00:00
3,MCP Paid Opportunities,Approval: create Stripe Payment Links for paid audits,3500.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,606.375,151.59375,63.75,15223.125,True,pending_human_review,https://github.com/Davidleeops/mcpscan/issues/3,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,19,2026-07-17T19:32:34.134309+00:00
4,GitHub Reward Issues,[aLexzzz430/Cognitive-OS] [ Bounty $3k ] [ Research ] Collect and compare AI-generated,3000.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,519.75,129.9375,63.75,13057.5,True,pending_human_review,https://github.com/Vikingr2023/awesome-agent-bounties/issues/52,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,10,2026-07-17T19:32:34.132310+00:00
5,GitHub Reward Issues,[aLexzzz430/Cognitive-OS] [ Bounty $3k ] [ Research ] Collect and compare AI-generated,3000.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,519.75,129.9375,63.75,13057.5,True,pending_human_review,https://github.com/Vikingr2023/awesome-agent-bounties/issues/167,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,11,2026-07-17T19:32:34.132310+00:00
6,GitHub Reward Issues,[ Bounty $3k ] [ Research ] Collect and compare AI-generated AGI architecture proposals,3000.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,519.75,129.9375,63.75,13057.5,True,pending_human_review,https://github.com/aLexzzz430/Cognitive-OS/issues/5,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,12,2026-07-17T19:32:34.132310+00:00
7,MCP Paid Opportunities,chore(ci): retire qodana now that jscpd and cargo-machete cover its findings,2000.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,346.5,86.625,63.75,8726.25,True,pending_human_review,https://github.com/iamacoffeepot/aether/issues/3439,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,28,2026-07-17T19:32:34.137309+00:00
8,GitHub Bounty Issues,Calculate the exact value of PI,1000.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,173.25,43.3125,63.75,4395.0,True,pending_human_review,https://github.com/xevrion-v2/agent-playground/issues/17,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,18,2026-07-17T19:32:34.134309+00:00
9,GitHub Paid Issues,Tool discovery 2026-07-15: 6 candidates,907.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,157.13775,39.2844375,63.75,3992.19375,True,pending_human_review,https://github.com/TarronKayAUA/aua-ai-hub/issues/21,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,24,2026-07-17T19:32:34.135309+00:00
10,GitHub Grant Issues,"Introduce the architectural distinction between ""Grant Layer Authority"" and ""Execution Layer Evidence",500.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,86.625,21.65625,63.75,2229.375,True,pending_human_review,https://github.com/Maisy-ML/Agent-Authorization-Use-Cases/issues/10,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,46,2026-07-17T19:32:34.141308+00:00
