id,title,url,reward_amount,reward_currency,status,score,reason,issue_state,repository_archived,labels
17,Calculate the exact value of PI,https://github.com/xevrion-v2/agent-playground/issues/17,1000.0,USD,deep_actionable,93.0,pagamento contextual encontrado no conteúdo oficial; mecanismo de candidatura não identificado; label compatível com oportunidade,open,0,"good first issue, bounty, AI agent friendly, 💎 Bounty, $1k"
10,[ Bounty $3k ] [ Research ] Collect and compare AI-generated AGI architecture proposals,https://github.com/aLexzzz430/Cognitive-OS/issues/5,3000.0,USD,manual_review,60.0,conteúdo de exemplo; pagamento contextual encontrado no conteúdo oficial; mecanismo de candidatura ou claim identificado; label compatível com oportunidade,open,0,"reward, bounty, research"
11,[aLexzzz430/Cognitive-OS] [ Bounty $3k ] [ Research ] Collect and compare AI-generated,https://github.com/Vikingr2023/awesome-agent-bounties/issues/167,3000.0,USD,manual_review,60.0,conteúdo de exemplo; pagamento contextual encontrado no conteúdo oficial; mecanismo de candidatura ou claim identificado; label compatível com oportunidade,open,0,"bounty-hunter, external-mirror, bounty, reward, research"
12,[aLexzzz430/Cognitive-OS] [ Bounty $3k ] [ Research ] Collect and compare AI-generated,https://github.com/Vikingr2023/awesome-agent-bounties/issues/52,3000.0,USD,manual_review,60.0,conteúdo de exemplo; pagamento contextual encontrado no conteúdo oficial; mecanismo de candidatura ou claim identificado; label compatível com oportunidade,open,0,"bounty-hunter, external-mirror, bounty, reward, research"
8,[2 USDC autonomous bounty] Complete an independent-relayer paid loop,https://github.com/NSPG13/agent-bounties/issues/250,2.01,USD,deep_rejected,43.0,valor armazenado não foi confirmado com contexto no conteúdo oficial; mecanismo de candidatura não identificado; label compatível com oportunidade,open,0,"bounty, ai-agent-welcome, payments, good-first-agent-bounty, funded-live, claimable-live"
13,Grant Application - Educating Communities by Educating Their Leaders,https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/356,50000.0,USD,deep_rejected,40.0,"registro aparenta ser candidatura/proposta já criada, não programa aberto; pagamento contextual encontrado no conteúdo oficial; mecanismo de candidatura não identificado",open,0,"📋 Grant Application, 👀 Ready For ZCG Review"
14,senddigidollar: integer-vs-decimal amount ambiguity is a 100× footgun,https://github.com/DigiByte-Core/digibyte/issues/424,10000.0,USD,deep_rejected,25.0,valor armazenado não foi confirmado com contexto no conteúdo oficial; mecanismo de candidatura não identificado,open,0,
6,[BOUNTY $100] 🐜The Memanto Bug & Exploit Challenge,https://github.com/moorcheh-ai/memanto/issues/770,100.0,USD,deep_rejected,3.0,atividade declarada como gratuita; demonstração; pagamento contextual encontrado no conteúdo oficial; mecanismo de candidatura não identificado; label compatível com oportunidade,open,0,bounty
22,Support actual payment amount confirmation and rate-shift tracking for foreign scheduled expenses,https://github.com/pedrazamiguez/split-trip/issues/1400,130.74,EUR,deep_rejected,0,issue fechada; atividade declarada como gratuita; valor armazenado não foi confirmado com contexto no conteúdo oficial; mecanismo de candidatura não identificado,closed,0,feature
7,[UNFUNDED: 0/2.01 USDC] Complete a machine-API paid loop,https://github.com/NSPG13/agent-bounties/issues/249,2.01,USD,deep_rejected,0,recompensa explicitamente não financiada; valor armazenado não foi confirmado com contexto no conteúdo oficial; mecanismo de candidatura não identificado; label compatível com oportunidade,open,0,"bounty, ai-agent-welcome, payments, good-first-agent-bounty, funding-needed"
9,[2 USDC autonomous bounty] Complete a browser-wallet paid loop,https://github.com/NSPG13/agent-bounties/issues/248,2.0,USD,deep_rejected,0,issue fechada; valor armazenado não foi confirmado com contexto no conteúdo oficial; mecanismo de candidatura não identificado; label compatível com oportunidade,closed,0,"bounty, ai-agent-welcome, payments, good-first-agent-bounty, recovery-paid"
