source_name,category,official_url,discovery_method,canonical_payment_source,explicit_executor_payment,payment_fiat,payment_crypto,public_discovery,api_available,rss_available,login_required,global_access,expected_volume,competition_risk,automation_priority,verification_status,adapter_status,notes,source_priority_score,live_health_status,health_detail,last_checked_at,next_action
Superteam Earn,crypto_bounty_and_grant,https://earn.superteam.fun,public_platform,true,true,false,true,true,unknown,unknown,partial,true,high,medium,98,VERIFIED_OFFICIAL,NOT_BUILT,"Bounties, projects and grants across development, design, content and other work.",160.0,REACHABLE,200,2026-07-19T13:12:01.672272+00:00,BUILD_ADAPTER_NOW
Algora,open_source_bounty,https://algora.io,github_api_and_platform,true,true,true,false,true,partial,false,partial,true,medium,high,90,VERIFIED_OFFICIAL,ACTIVE_PARTIAL,Live GitHub/Algora discovery already installed.,153.0,REACHABLE,200,2026-07-19T13:12:00.728437+00:00,IMPROVE_EXISTING_ADAPTER
OnlyDust,open_source_rewards,https://www.onlydust.com,platform_and_github,true,true,true,true,partial,unknown,unknown,true,true,medium,medium,95,VERIFIED_OFFICIAL,NOT_BUILT,Contributor rewards and grants; wallet or PayPal depending on ecosystem.,146.0,REACHABLE,200,2026-07-19T13:12:00.947399+00:00,BUILD_ADAPTER_NOW
Immunefi,web3_security_bounty,https://immunefi.com,public_program_directory,true,true,partial,true,true,unknown,unknown,true,true,medium,high,68,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Dedicated authorized-security workflow required.,111.0,REACHABLE,200,2026-07-19T13:12:03.948873+00:00,VERIFY_THEN_BUILD
HackerOne,security_bug_bounty,https://www.hackerone.com,public_program_directory,true,true,true,partial,partial,partial,unknown,true,true,high,high,65,NEEDS_LIVE_VERIFICATION,NOT_BUILT,"Security-only pipeline; require scope, safe-harbor and authorized-testing gates.",109.0,REACHABLE,200,2026-07-19T13:12:03.515949+00:00,VERIFY_THEN_BUILD
Bugcrowd,security_bug_bounty,https://www.bugcrowd.com,public_program_directory,true,true,true,partial,partial,partial,unknown,true,true,high,high,64,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Security-only pipeline; no automated testing against production.,108.0,REACHABLE,200,2026-07-19T13:12:03.599934+00:00,VERIFY_THEN_BUILD
Toloka,microtask_and_ai_data,https://toloka.ai,platform,true,true,true,partial,partial,partial,false,true,partial,high,low,55,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Prioritize tasks above the economic minimum.,107.0,REACHABLE,200,2026-07-19T13:12:14.780976+00:00,VERIFY_THEN_BUILD
Outlier,ai_training_work,https://outlier.ai,public_roles,true,true,true,false,partial,false,false,true,partial,high,medium,62,NEEDS_LIVE_VERIFICATION,NOT_BUILT,"Human account, qualification and location constraints may apply.",100.0,REACHABLE,200,2026-07-19T13:12:13.667172+00:00,VERIFY_THEN_BUILD
Upwork,freelance_marketplace,https://www.upwork.com,marketplace_search,true,true,true,false,partial,restricted,false,true,true,very_high,high,58,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Do not automate proposals or external commitments.,99.0,UNCONFIRMED,HTTPError,2026-07-19T13:12:12.795324+00:00,VERIFY_THEN_BUILD
DoraHacks,hackathon_and_bounty,https://dorahacks.io,public_platform,true,partial,partial,true,true,unknown,unknown,partial,true,high,high,67,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Separate direct bounties from winner-takes-all hackathons.,97.0,UNCONFIRMED,HTTPError,2026-07-19T13:12:02.837068+00:00,VERIFY_THEN_BUILD
Topcoder,software_and_data_challenge,https://www.topcoder.com/challenges,public_platform,true,true,true,false,true,partial,unknown,true,true,medium,high,48,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Prioritize development tasks with clear acceptance and multiple placement awards.,97.0,REACHABLE,200,2026-07-19T13:12:09.088974+00:00,VERIFY_THEN_BUILD
Gitcoin,web3_grant_and_bounty,https://gitcoin.co,platform,true,partial,false,true,partial,unknown,unknown,partial,true,medium,medium,72,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Verify current grants and bounty surfaces before adapter implementation.,95.0,REACHABLE,200,2026-07-19T13:12:01.788252+00:00,VERIFY_THEN_BUILD
