"source_name","category","official_url","discovery_method","canonical_payment_source","explicit_executor_payment","payment_fiat","payment_crypto","public_discovery","api_available","rss_available","login_required","global_access","expected_volume","competition_risk","automation_priority","verification_status","adapter_status","notes"
"Algora","open_source_bounty","https://algora.io","github_api_and_platform","true","true","true","false","true","partial","false","partial","true","medium","high","90","VERIFIED_OFFICIAL","ACTIVE_PARTIAL","Live GitHub/Algora discovery already installed."
"OnlyDust","open_source_rewards","https://www.onlydust.com","platform_and_github","true","true","true","true","partial","unknown","unknown","true","true","medium","medium","95","VERIFIED_OFFICIAL","NOT_BUILT","Contributor rewards and grants; wallet or PayPal depending on ecosystem."
"Superteam Earn","crypto_bounty_and_grant","https://earn.superteam.fun","public_platform","true","true","false","true","true","unknown","unknown","partial","true","high","medium","98","VERIFIED_OFFICIAL","DISCOVERY_BLOCKED","Official source verified, but listings are dynamically loaded and require API or application-state extraction."
"Gitcoin","web3_grant_and_bounty","https://gitcoin.co","platform","true","partial","false","true","partial","unknown","unknown","partial","true","medium","medium","72","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Verify current grants and bounty surfaces before adapter implementation."
"DoraHacks","hackathon_and_bounty","https://dorahacks.io","public_platform","true","partial","partial","true","true","unknown","unknown","partial","true","high","high","67","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Separate direct bounties from winner-takes-all hackathons."
"Devpost","hackathon","https://devpost.com","public_platform","true","partial","true","partial","true","partial","unknown","partial","true","high","high","45","VERIFIED_EXISTING_ADAPTER","ACTIVE_PARTIAL","Existing adapter; prioritize fixed-price sponsor challenges over broad contests."
"HackerOne","security_bug_bounty","https://www.hackerone.com","public_program_directory","true","true","true","partial","partial","partial","unknown","true","true","high","high","65","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Security-only pipeline; require scope, safe-harbor and authorized-testing gates."
"Bugcrowd","security_bug_bounty","https://www.bugcrowd.com","public_program_directory","true","true","true","partial","partial","partial","unknown","true","true","high","high","64","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Security-only pipeline; no automated testing against production."
"Immunefi","web3_security_bounty","https://immunefi.com","public_program_directory","true","true","partial","true","true","unknown","unknown","true","true","medium","high","68","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Dedicated authorized-security workflow required."
"Code4rena","smart_contract_audit","https://code4rena.com","public_contest_directory","true","true","false","true","true","unknown","unknown","true","true","medium","high","50","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Contest model; score below direct fixed-price work."
"Sherlock","smart_contract_audit","https://sherlock.xyz","public_contest_directory","true","true","false","true","true","unknown","unknown","true","true","medium","high","50","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Contest model; dedicated security feasibility gate required."
"Cantina","smart_contract_security","https://cantina.xyz","public_platform","true","true","partial","true","partial","unknown","unknown","true","true","medium","high","52","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Separate competitions from direct engagements."
"Kaggle","data_science_competition","https://www.kaggle.com/competitions","public_platform","true","partial","true","false","true","true","unknown","true","true","medium","very_high","28","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Competition model; only prioritize unusually favorable or guaranteed-payment tasks."
