title,organization,url,reward_currency,reward_amount,truth_status,truth_score,payment_probability,probability_band,expected_cash_value,probability_adjusted_value_per_hour,execution_readiness,final_priority,recommended_action,probability_reason
Low Handing Fruit Automation,SecureBananaLabs/bug-bounty,https://github.com/SecureBananaLabs/bug-bounty/issues/743,USD,700.0,claim_process_review_required,85.0,90.53,very_high,633.71,158.43,83.25,91.44,verify_claim_and_payment_terms,Tarefa continua aberta.; Valor numérico de recompensa encontrado.; Trecho de evidência da recompensa salvo.; Promessa explícita de pagamento encontrada.; Processo de claim ainda precisa ser confirmado.; Retorno estimado por hora é positivo.; Fonte ainda sem histórico suficiente.
"Front Yard Foods launch partner: proposal, agreements, recurring billing, and Shopify/Square architecture",johncollinsgit/TimberLine,https://github.com/johncollinsgit/TimberLine/issues/70,USD,299.0,payment_terms_review_required,65.0,34.39,low,102.83,12.85,68.25,38.12,do_not_execute,Tarefa continua aberta.; Valor numérico de recompensa encontrado.; Trecho de evidência da recompensa salvo.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Retorno estimado por hora é positivo.; Fonte ainda sem histórico suficiente.
[Bug] Inconsistency in the subscription flow depending on the user's login state,paypal/paypal-js,https://github.com/paypal/paypal-js/issues/975,USD,60.0,payment_terms_review_required,65.0,29.76,low,17.86,4.46,66.5,31.16,do_not_execute,Tarefa continua aberta.; Valor numérico de recompensa encontrado.; Trecho de evidência da recompensa salvo.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Retorno estimado por hora é positivo.; Fonte ainda sem histórico suficiente.
"Mixed-content copy bypasses table sanitizer, preserves dark theme, and blanks headers",nesquena/hermes-webui,https://github.com/nesquena/hermes-webui/issues/6063,USD,40.0,payment_terms_review_required,65.0,28.77,low,11.51,2.88,68.25,30.45,do_not_execute,Tarefa continua aberta.; Valor numérico de recompensa encontrado.; Trecho de evidência da recompensa salvo.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Retorno estimado por hora é positivo.; Fonte ainda sem histórico suficiente.
[50 MRG] Gomi IDE job (prj_0127): focused tested fix on mergeos-bounties/Gomi,mergeos-bounties/mergeos,https://github.com/mergeos-bounties/mergeos/issues/244,,,reward_evidence_required,65.0,0.0,very_low,0.0,0.0,100.0,20.0,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa explícita de pagamento encontrada.; Processo de claim ou entrega identificado.; Fonte ainda sem histórico suficiente.
🎯 Bounty Alert: 12 New Opportunityies found,freedom-winds/BountyScout,https://github.com/freedom-winds/BountyScout/issues/119,USDC,89.0,rejected_aggregator,0.0,0.0,very_low,0.0,0.0,85.0,17.89,do_not_execute,Tarefa continua aberta.; Valor numérico de recompensa encontrado.; Trecho de evidência da recompensa salvo.; Promessa explícita de pagamento encontrada.; Processo de claim ainda precisa ser confirmado.; Retorno estimado por hora é positivo.; Fonte ainda sem histórico suficiente.; Agregador detectado.
🎯 Bounty Alert: 38 New Opportunities — 2026-07-16 17:15 UTC,greyw0rks/bountyscout,https://github.com/greyw0rks/bountyscout/issues/282,USDC,89.0,rejected_aggregator,0.0,0.0,very_low,0.0,0.0,85.0,17.89,do_not_execute,Tarefa continua aberta.; Valor numérico de recompensa encontrado.; Trecho de evidência da recompensa salvo.; Promessa explícita de pagamento encontrada.; Processo de claim ainda precisa ser confirmado.; Retorno estimado por hora é positivo.; Fonte ainda sem histórico suficiente.; Agregador detectado.
[BOUNTY $100] 🐜The Memanto Bug & Exploit Challenge,moorcheh-ai/memanto,https://github.com/moorcheh-ai/memanto/issues/770,USD,100.0,rejected_non_execution,0.0,0.0,very_low,0.0,0.0,83.25,17.65,do_not_execute,Tarefa continua aberta.; Valor numérico de recompensa encontrado.; Trecho de evidência da recompensa salvo.; Promessa explícita de pagamento encontrada.; Processo de claim ainda precisa ser confirmado.; Retorno estimado por hora é positivo.; Fonte ainda sem histórico suficiente.; Registro não executável.
🎯 Bounty Alert: 14 New Opportunityies found,dev-kp-eloper/BountyScout,https://github.com/dev-kp-eloper/BountyScout/issues/500,USDC,89.0,rejected_aggregator,0.0,0.0,very_low,0.0,0.0,83.25,17.54,do_not_execute,Tarefa continua aberta.; Valor numérico de recompensa encontrado.; Trecho de evidência da recompensa salvo.; Promessa explícita de pagamento encontrada.; Processo de claim ainda precisa ser confirmado.; Retorno estimado por hora é positivo.; Fonte ainda sem histórico suficiente.; Agregador detectado.
🎯 Bounty Alert: 16 New Opportunityies found,vansh-09/BountyScout,https://github.com/vansh-09/BountyScout/issues/392,USDC,89.0,rejected_aggregator,0.0,0.0,very_low,0.0,0.0,83.25,17.54,do_not_execute,Tarefa continua aberta.; Valor numérico de recompensa encontrado.; Trecho de evidência da recompensa salvo.; Promessa explícita de pagamento encontrada.; Processo de claim ainda precisa ser confirmado.; Retorno estimado por hora é positivo.; Fonte ainda sem histórico suficiente.; Agregador detectado.
