rank,queue_status,verification_score,priority_score,title,category,source,url,reward_amount,reward_currency,payment_method,difficulty,estimated_hours,risk_level,country_eligibility,country_restrictions,kyc_required,human_approval_required,verification_status,recommended_action,recommendation_reason,verified_at
1,ELIGIBILITY_REVIEW_REQUIRED,85.7,100.0,senddigidollar: integer-vs-decimal amount ambiguity is a 100× footgun,ai_integration,MCP Paid Opportunities,https://github.com/DigiByte-Core/digibyte/issues/424,10000.0,USD,GitHub Sponsors,alta,80.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:06.414234+00:00
2,ELIGIBILITY_REVIEW_REQUIRED,81.7,92.7,[aLexzzz430/Cognitive-OS] [ Bounty $3k ] [ Research ] Collect and compare AI-generated,open_source_bounty,GitHub Reward Issues,https://github.com/Vikingr2023/awesome-agent-bounties/issues/52,3000.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:02.695054+00:00
3,ELIGIBILITY_REVIEW_REQUIRED,81.7,92.7,[aLexzzz430/Cognitive-OS] [ Bounty $3k ] [ Research ] Collect and compare AI-generated,open_source_bounty,GitHub Reward Issues,https://github.com/Vikingr2023/awesome-agent-bounties/issues/167,3000.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:00.891883+00:00
4,ELIGIBILITY_REVIEW_REQUIRED,81.7,92.7,[ Bounty $3k ] [ Research ] Collect and compare AI-generated AGI architecture proposals,open_source_bounty,GitHub Reward Issues,https://github.com/aLexzzz430/Cognitive-OS/issues/5,3000.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:34:59.101626+00:00
5,ELIGIBILITY_REVIEW_REQUIRED,80.14,92.31,Tool discovery 2026-07-15: 6 candidates,paid_development,GitHub Paid Issues,https://github.com/TarronKayAUA/aua-ai-hub/issues/21,4167.0,USD,GitHub Sponsors,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,"Open Tool discovery 2026-07-15: 6 candidates #21 Copy link Description TarronKayAUA opened on Jul 15, 2026 Issue body actions This is the monthly propose-only tool dis",0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:35:25.663885+00:00
6,ELIGIBILITY_REVIEW_REQUIRED,79.21,92.21,Fixed-Goal Grant Proposal,grant,GitHub Grant Issues,https://github.com/FreeCAD/FPA-grant-proposals/issues/104,5000.0,EUR,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T16:36:19.715097+00:00
7,ELIGIBILITY_REVIEW_REQUIRED,80.55,92.05,Approval: create Stripe Payment Links for paid audits,ai_integration,MCP Paid Opportunities,https://github.com/Davidleeops/mcpscan/issues/3,3500.0,USD,"Stripe, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:14.657370+00:00
8,ELIGIBILITY_REVIEW_REQUIRED,81.7,91.95,Data Analytics Bounty,crypto_bounty,Crypto Bounties,https://github.com/Honest-Protocol/Gitcoin_Metamorphosis/issues/3,2250.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-26T14:01:44.206943+00:00
9,ELIGIBILITY_REVIEW_REQUIRED,80.95,89.95,Calculate the exact value of PI,open_source_bounty,GitHub Bounty Issues,https://github.com/xevrion-v2/agent-playground/issues/17,1000.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:12.991640+00:00
10,ELIGIBILITY_REVIEW_REQUIRED,76.45,84.95,Kendraio App MusicBrainz integration (bounty),open_source_bounty,GitHub Bounty Issues,https://github.com/kendraio/kendraio-app/issues/184,500.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T17:06:54.557648+00:00
11,ELIGIBILITY_REVIEW_REQUIRED,76.85,84.95,[BOUNTY $100] 🐜The Memanto Bug & Exploit Challenge,ai_bounty,AI Agent Bounties,https://github.com/moorcheh-ai/memanto/issues/770,100.0,USD,GitHub Sponsors,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:34:51.132248+00:00
12,ELIGIBILITY_REVIEW_REQUIRED,76.05,84.33,[BOUNTY $200] Testing — 自动化测试套件,open_source_bounty,GitHub Bounty Issues,https://github.com/illbnm/homelab-stack/issues/14,280.0,USD,"USDT, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-26T14:01:56.344996+00:00
13,ELIGIBILITY_REVIEW_REQUIRED,75.9,84.0,[BOUNTY $100] 🐜The Memanto Bug & Exploit Challenge,open_source_bounty,GitHub Paid Issues,https://github.com/moorcheh-ai/memanto/issues/770,100.0,USD,GitHub Sponsors,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-27T12:27:30.716458+00:00
14,ELIGIBILITY_REVIEW_REQUIRED,75.45,83.6,🎯 Bounty Alert: 31 New Opportunities — 2026-07-15 03:21 UTC,ai_bounty,AI Agent Bounties,https://github.com/greyw0rks/bountyscout/issues/265,150.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:20.460486+00:00
15,ELIGIBILITY_REVIEW_REQUIRED,75.17,83.3,Support actual payment amount confirmation and rate-shift tracking for foreign scheduled expenses,paid_development,GitHub Paid Issues,https://github.com/pedrazamiguez/split-trip/issues/1400,130.74,EUR,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:24.022895+00:00
16,ELIGIBILITY_REVIEW_REQUIRED,74.69,83.19,"monte_carlo_layer_means default seed makes a small-n draw an exact prefix of a large-n draw, and the compare_against_monte_carlo MSE column is easy to misread",competition,GitHub Prize Issues,https://github.com/AIcrowd/whest-starterkit/issues/39,500.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T17:32:33.495462+00:00
17,ELIGIBILITY_REVIEW_REQUIRED,79.66,82.96,VoltHacks,hackathon,Devpost Hackathons,https://volthacks.devpost.com/,300.0,USD,,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-27T12:31:57.976861+00:00
18,ELIGIBILITY_REVIEW_REQUIRED,74.35,82.55,[BOUNTY $200] 🐜 The Great Memory Migration: Own Your Agentic Memory with Memanto + OKF,competition,GitHub Prize Issues,https://github.com/moorcheh-ai/memanto/issues/1609,200.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T14:02:34.855901+00:00
19,ELIGIBILITY_REVIEW_REQUIRED,71.85,79.85,[0.10 USDC autonomous meta-bounty] Post a funded agent-tooling bounty completed by another wallet,open_source_bounty,GitHub Bounty Issues,https://github.com/NSPG13/agent-bounties/issues/273,0.11,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility 1,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:48.757641+00:00
20,ELIGIBILITY_REVIEW_REQUIRED,71.85,79.85,[0.10 USDC autonomous meta-bounty] Create a paid coding-bounty loop,open_source_bounty,GitHub Bounty Issues,https://github.com/NSPG13/agent-bounties/issues/274,0.11,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility 1,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:46.711221+00:00
21,ELIGIBILITY_REVIEW_REQUIRED,71.85,79.85,[0.10 USDC autonomous bounty] Complete a wallet claim-to-payout canary,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/275,0.11,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility 1,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:44.757351+00:00
22,ELIGIBILITY_REVIEW_REQUIRED,71.85,79.85,[0.10 USDC autonomous bounty] Complete an MCP-discovered claim-to-payout canary,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/276,0.11,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility 1,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:42.648196+00:00
23,ELIGIBILITY_REVIEW_REQUIRED,71.85,79.85,[0.10 USDC autonomous bounty] Complete an agent-skill claim-to-payout canary,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/277,0.11,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility 1,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:40.414258+00:00
24,ELIGIBILITY_REVIEW_REQUIRED,71.7,79.7,[2 USDC autonomous bounty] Complete an independent-relayer paid loop,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/250,2.01,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility and payment,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:54.961113+00:00
25,ELIGIBILITY_REVIEW_REQUIRED,71.7,79.7,[UNFUNDED: 0/2.01 USDC] Complete a machine-API paid loop,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/249,2.01,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility and payment,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:53.038722+00:00
26,ELIGIBILITY_REVIEW_REQUIRED,71.7,79.7,[2 USDC autonomous bounty] Complete a browser-wallet paid loop,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/248,2.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility and payment,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:57.117099+00:00
27,ELIGIBILITY_REVIEW_REQUIRED,71.6,79.6,[Bounty] [3 USDC][Open Competition V2] Map the shortest discovery path for eight AI-agent,ai_bounty,AI Agent Bounties,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/834,3.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-26T14:01:47.493769+00:00
28,ELIGIBILITY_REVIEW_REQUIRED,71.45,79.48,🎯 Bounty Alert: 30 New Opportunities — 2026-07-14 10:46 UTC,ai_bounty,AI Agent Bounties,https://github.com/greyw0rks/bountyscout/issues/256,28.4,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:08.542812+00:00
29,ELIGIBILITY_REVIEW_REQUIRED,71.45,79.48,bounty: $25 USDC — add-only docs/LIVE_LEDGER.md,ai_integration,MCP Paid Opportunities,https://github.com/kwizzlesurp10-ctrl/x402-mcp/issues/496,25.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-26T16:35:47.581817+00:00
30,ELIGIBILITY_REVIEW_REQUIRED,71.45,79.47,bounty: $15 USDC — add-only docs/BAZAAR_AUDIT.md,ai_integration,MCP Paid Opportunities,https://github.com/kwizzlesurp10-ctrl/x402-mcp/issues/495,15.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T16:35:48.376536+00:00
