"task_title","url","reward","currency","payment_type","source","status"
"[2 USDC] Select the safest funded bounty for an agent","https://github.com/NSPG13/agent-bounties/issues/359","","unknown","unknown","GitHub","discovered"
"[Bounty] [1 USDC standing meta] Seed a paid CLI child bounty","https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/514","","unknown","unknown","GitHub","discovered"
"[Bounty] [1 USDC standing meta] Seed a paid API child bounty","https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/513","","unknown","unknown","GitHub","discovered"
"[Bounty] [1 USDC standing meta] Seed a paid distribution tooling child bounty","https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/510","","unknown","unknown","GitHub","discovered"
"[Bounty] [1 USDC standing meta] Seed a paid MCP child bounty","https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/511","","unknown","unknown","GitHub","discovered"
"[Bounty] [1 USDC standing meta] Seed a paid wallet UX child bounty","https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/512","","unknown","unknown","GitHub","discovered"
"[aLexzzz430/Cognitive-OS] [ Bounty $3k ] [ Research ] Collect and compare AI-generated","https://github.com/Vikingr2023/awesome-agent-bounties/issues/167","","unknown","unknown","GitHub","discovered"
"Feedback Wanted - help test the v3 Release Candidate!","https://github.com/Boeing/config-file-validator/issues/551","","unknown","unknown","GitHub","discovered"
"Add reusable Copy Code button component (copy-code-btn-hr18)","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49461","","unknown","unknown","GitHub","discovered"
"feat: add ease-robotics-dashboard submission","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49460","","unknown","unknown","GitHub","discovered"
"[Bug]: Media error when selecting some playlist in ""Add Media"" menu","https://github.com/isyuricunha/yumusic-garmin-music-app/issues/21","","unknown","unknown","GitHub","discovered"
"[help]","https://github.com/codevoyager-ai-dev/codevoyager-ai-dev/issues/2","","unknown","unknown","GitHub","discovered"
"Add Next.js App Router import placement pitfalls guide (ease-nextjs-i…","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49459","","unknown","unknown","GitHub","discovered"
"[Good First Issue] 🗻 Add new Japan Fact 235 - Beginner-Friendly Open-source Contribution","https://github.com/lingdojo/kana-dojo/issues/24953","","unknown","unknown","GitHub","discovered"
"Icon and Bind test on macOS/Linux","https://github.com/FedericoSpada/Custom2kinter/issues/18","","unknown","unknown","GitHub","discovered"
"feat: add ease-robot-arm-simulator submission","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49458","","unknown","unknown","GitHub","discovered"
"fix(theme): support custom spacing for 4.5 to size history avatars","https://github.com/Sanket-103-pvt/Git-Stats/pull/105","","unknown","unknown","GitHub","discovered"
"Improve discoverability of assigning and creating environments from the Connections table","https://github.com/meshery/meshery/issues/20761","","unknown","unknown","GitHub","discovered"
"Implement PowerPoint support (OfficeAgent.PowerPoint)","https://github.com/ilia-sokolov/OfficeAgent.NET/issues/6","","unknown","unknown","GitHub","discovered"
"Implement Excel format support (OfficeAgent.Excel)","https://github.com/ilia-sokolov/OfficeAgent.NET/issues/5","","unknown","unknown","GitHub","discovered"
"Add a CLI regression test for WordPress post planning dispatch","https://github.com/yoldaolmak/Pictovap/issues/29","","unknown","unknown","GitHub","discovered"
"Add a WordPress Gutenberg planning example profile and walkthrough","https://github.com/yoldaolmak/Pictovap/issues/28","","unknown","unknown","GitHub","discovered"
"Return actionable WordPress read errors when a Gutenberg post cannot be fetched","https://github.com/yoldaolmak/Pictovap/issues/27","","unknown","unknown","GitHub","discovered"
"Define and test WordPress planning behaviour for posts without H2 headings","https://github.com/yoldaolmak/Pictovap/issues/26","","unknown","unknown","GitHub","discovered"
"Preserve inline-formatted Gutenberg heading text in placement targets","https://github.com/yoldaolmak/Pictovap/issues/25","","unknown","unknown","GitHub","discovered"
"Add a realistic Gutenberg blocks fixture for VisualBrief regression tests","https://github.com/yoldaolmak/Pictovap/issues/24","","unknown","unknown","GitHub","discovered"
"feat: add CSS Staggered Entrance Tooltip for Neumorphic Soft Layouts …","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49457","","unknown","unknown","GitHub","discovered"
"feat: add 3d perspective tilt tooltip submission","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49456","","unknown","unknown","GitHub","discovered"
"[Good First Issue] 🪭 Add new Theme: Wasabi Punch - Beginner-Friendly Open-source Contribution","https://github.com/lingdojo/kana-dojo/issues/24952","","unknown","unknown","GitHub","discovered"
"Support radio-group and dropdown signer field types","https://github.com/LiftedHoldings/lifted-sign/issues/23","","unknown","unknown","GitHub","discovered"
"Add a machine-readable (JSON) audit-trail export endpoint","https://github.com/LiftedHoldings/lifted-sign/issues/22","","unknown","unknown","GitHub","discovered"
"Docs: add a troubleshooting / first-run FAQ page","https://github.com/LiftedHoldings/lifted-sign/issues/21","","unknown","unknown","GitHub","discovered"
"SDKs: add methods for the webhook + template management endpoints","https://github.com/LiftedHoldings/lifted-sign/issues/19","","unknown","unknown","GitHub","discovered"
"SDKs: retry with backoff on 429 / transient 5xx","https://github.com/LiftedHoldings/lifted-sign/issues/18","","unknown","unknown","GitHub","discovered"
"SDKs: add a webhook signature-verification helper","https://github.com/LiftedHoldings/lifted-sign/issues/17","","unknown","unknown","GitHub","discovered"
"feat: add CSS Spring Physics Tooltip for Cyberpunk Neon Layouts #46290","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49455","","unknown","unknown","GitHub","discovered"
"Add repeatable Azure Container Apps deployment","https://github.com/ilia-sokolov/OfficeAgent.NET/issues/4","","unknown","unknown","GitHub","discovered"
"Feedback Wanted - help test the v3 Release Candidate!","https://github.com/Boeing/config-file-validator/issues/551","","unknown","unknown","GitHub","discovered"
"Add reusable Copy Code button component (copy-code-btn-hr18)","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49461","","unknown","unknown","GitHub","discovered"
"feat: add ease-robotics-dashboard submission","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49460","","unknown","unknown","GitHub","discovered"
"fix(i18n): localize medicine schedule subpages (Fixes #2911)","https://github.com/RatLoopz/sahidawa-india/pull/3717","","unknown","unknown","GitHub","discovered"
"perf: parallelize `probe_batch` / `probe_batch_cached` with Rayon","https://github.com/d-o-hub/chaotic_semantic_memory/issues/522","","unknown","unknown","GitHub","discovered"
"Add Next.js App Router import placement pitfalls guide (ease-nextjs-i…","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49459","","unknown","unknown","GitHub","discovered"
"[Good First Issue] 🗻 Add new Japan Fact 235 - Beginner-Friendly Open-source Contribution","https://github.com/lingdojo/kana-dojo/issues/24953","","unknown","unknown","GitHub","discovered"
"Tag/label tasks by repo or project and filter spend reports","https://github.com/voly-codes/voly/issues/9","","unknown","unknown","GitHub","discovered"
"feat: add ease-robot-arm-simulator submission","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49458","","unknown","unknown","GitHub","discovered"
"Replace 'Load More >>>' by overloaded 'Next >'","https://github.com/JabRef/jabref/pull/16278","","unknown","unknown","GitHub","discovered"
"Record which engine produced the report in execution metadata","https://github.com/AndreaBozzo/dataprof/issues/434","","unknown","unknown","GitHub","discovered"
"Add a CLI regression test for WordPress post planning dispatch","https://github.com/yoldaolmak/Pictovap/issues/29","","unknown","unknown","GitHub","discovered"
"Add a WordPress Gutenberg planning example profile and walkthrough","https://github.com/yoldaolmak/Pictovap/issues/28","","unknown","unknown","GitHub","discovered"
"Return actionable WordPress read errors when a Gutenberg post cannot be fetched","https://github.com/yoldaolmak/Pictovap/issues/27","","unknown","unknown","GitHub","discovered"
