id,title,url,organization,reward_amount,reward_currency,start_date,end_date,location,online,participants,status,skills,candidate_score,verification_status
11,Build with Gemini XPRIZE,https://xprize.devpost.com/,XPRIZE,2000000.0,USD,2026-05-19,2026-08-17,Online,1,19795,open,"Machine Learning/AI, Education, Productivity",100.0,staged
687,GatewayHacks 2026 | Software & AI,https://gatewayhacks-2026.devpost.com/,GatewayGS,814585.0,USD,2026-09-01,2026-10-02,Online,1,831,open,"Beginner Friendly, Machine Learning/AI, Open Ended",100.0,staged
74,RevenueCat Shipaton 2026,https://revenuecat-shipaton-2026.devpost.com/,RevenueCat,740000.0,USD,2026-07-31,2026-10-01,Online,1,23486,open,"Design, Gaming, Mobile",100.0,staged
71,INNOVIK 6.0 : International Hackathon 2026,https://innovik-6-0-hackathon-2026.devpost.com/,shekunj,200000.0,USD,2026-07-15,2026-08-15,"VITM, Indore",0,5,open,Machine Learning/AI,100.0,staged
64,Global Innovation Build Challenge V2,https://gibc-v2.devpost.com/,Kang Chiao International School Student,156525.0,USD,2026-07-11,2026-09-21,Online,1,736,open,"Machine Learning/AI, Social Good, Beginner Friendly",100.0,staged
683,"Build, Ship, Shape: Amazon Developer Hackathon",https://amazonappdev2026.devpost.com/,Amazon,138000.0,USD,2026-08-31,2026-10-23,Online,1,1876,open,"Machine Learning/AI, Open Ended, Productivity",100.0,staged
10,OpenAI Build Week,https://openai.devpost.com/,OpenAI,100000.0,USD,2026-07-13,2026-07-21,Online,1,24848,open,"Machine Learning/AI, DevOps, Productivity",100.0,staged
52,Brainwave 2026 – X402 Blockchain Track,https://brainwave-2026.devpost.com/,ACTS EDC,100000.0,USD,2026-07-03,2026-07-31,Auditorium,0,71,open,Blockchain,100.0,staged
39,Pinch Me! I Want 50K: A Nationwide Australian Payments & Fintech Hackathon,https://pinch-me-i-want-50k.devpost.com/,Pinch Payments,50000.0,USD,2026-06-23,2026-07-22,"Tank Stream Labs, Online",0,158,open,"Fintech, Machine Learning/AI, Open Ended",100.0,staged
723,Next Gen Hackathon 2026 -Bengaluru,https://next-gen-hackathon.devpost.com/,RAAIF,50000.0,USD,2026-09-01,2026-10-23,"Tripura Vasini Palace Grounds, Bengaluru",0,20,open,"AR/VR, IoT, Machine Learning/AI",100.0,staged
681,Nebius x NVIDIA Global AI Hackathon,https://nebiusglobalaihackathon.devpost.com/,nebius,50000.0,USD,2026-08-26,2026-10-30,Online,1,2409,open,"Machine Learning/AI, Beginner Friendly, Robotic Process Automation",100.0,staged
679,Agents for Humans Hackathon,https://agentsforhumans.devpost.com/,Amazon,40000.0,USD,2026-08-10,2026-09-14,Online,1,7656,open,"Beginner Friendly, Machine Learning/AI, Open Ended",100.0,staged
692,UnivaBio,https://univabio.devpost.com/,BioCataalysis,38245.0,USD,2026-08-07,2026-10-06,Online,1,362,open,"Beginner Friendly, Health, Social Good",100.0,staged
76,AI Builders Hackathon,https://ai-builders-hackathon-2026.devpost.com/,OSC,33900.0,USD,2026-08-21,2026-09-15,Online,1,2794,open,"Machine Learning/AI, Open Ended, Beginner Friendly",100.0,staged
16,Build with DataHub: The Agent Hackathon,https://datahub.devpost.com/,DataHub,20500.0,USD,2026-07-06,2026-08-10,Online,1,752,open,"Machine Learning/AI, DevOps, Open Ended",100.0,staged
686,"OpenCV AI Competition 2026, powered by AWS",https://opencv26.devpost.com/,OpenCV,20250.0,USD,2026-08-26,2026-10-27,Online,1,1161,open,"IoT, Machine Learning/AI, Serverless",100.0,staged
36,The Rice University Urban Sustainability Hackathon,https://rice-urban-sustainability.devpost.com/,Rice University,17500.0,USD,2026-06-23,2026-09-18,Online,1,388,open,"Design, Social Good, Databases",100.0,staged
