source_name,category,official_url,discovery_method,canonical_payment_source,explicit_executor_payment,payment_fiat,payment_crypto,public_discovery,api_available,rss_available,login_required,global_access,expected_volume,competition_risk,automation_priority,verification_status,adapter_status,notes,source_priority_score,live_health_status,health_detail,last_checked_at,next_action
Superteam Earn,crypto_bounty_and_grant,https://earn.superteam.fun,public_platform,true,true,false,true,true,unknown,unknown,partial,true,high,medium,98,VERIFIED_OFFICIAL,ACTIVE_PARTIAL,Canonical public listing crawler installed. No submissions or account actions.,168.0,REACHABLE,200,2026-07-19T13:53:38.703050+00:00,IMPROVE_EXISTING_ADAPTER
Algora,open_source_bounty,https://algora.io,github_api_and_platform,true,true,true,false,true,partial,false,partial,true,medium,high,90,VERIFIED_OFFICIAL,ACTIVE_PARTIAL,Live GitHub/Algora discovery already installed.,153.0,REACHABLE,200,2026-07-19T13:53:37.941184+00:00,IMPROVE_EXISTING_ADAPTER
OnlyDust,open_source_rewards,https://www.onlydust.com,platform_and_github,true,true,true,true,partial,unknown,unknown,true,true,medium,medium,95,VERIFIED_OFFICIAL,NOT_BUILT,Contributor rewards and grants; wallet or PayPal depending on ecosystem.,146.0,REACHABLE,200,2026-07-19T13:53:38.077160+00:00,BUILD_ADAPTER_NOW
Immunefi,web3_security_bounty,https://immunefi.com,public_program_directory,true,true,partial,true,true,unknown,unknown,true,true,medium,high,68,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Dedicated authorized-security workflow required.,111.0,REACHABLE,200,2026-07-19T13:53:41.032643+00:00,VERIFY_THEN_BUILD
HackerOne,security_bug_bounty,https://www.hackerone.com,public_program_directory,true,true,true,partial,partial,partial,unknown,true,true,high,high,65,NEEDS_LIVE_VERIFICATION,NOT_BUILT,"Security-only pipeline; require scope, safe-harbor and authorized-testing gates.",109.0,REACHABLE,200,2026-07-19T13:53:40.547727+00:00,VERIFY_THEN_BUILD
Bugcrowd,security_bug_bounty,https://www.bugcrowd.com,public_program_directory,true,true,true,partial,partial,partial,unknown,true,true,high,high,64,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Security-only pipeline; no automated testing against production.,108.0,REACHABLE,200,2026-07-19T13:53:40.652709+00:00,VERIFY_THEN_BUILD
Toloka,microtask_and_ai_data,https://toloka.ai,platform,true,true,true,partial,partial,partial,false,true,partial,high,low,55,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Prioritize tasks above the economic minimum.,107.0,REACHABLE,200,2026-07-19T13:53:51.793758+00:00,VERIFY_THEN_BUILD
Outlier,ai_training_work,https://outlier.ai,public_roles,true,true,true,false,partial,false,false,true,partial,high,medium,62,NEEDS_LIVE_VERIFICATION,NOT_BUILT,"Human account, qualification and location constraints may apply.",100.0,REACHABLE,200,2026-07-19T13:53:50.684953+00:00,VERIFY_THEN_BUILD
Upwork,freelance_marketplace,https://www.upwork.com,marketplace_search,true,true,true,false,partial,restricted,false,true,true,very_high,high,58,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Do not automate proposals or external commitments.,99.0,UNCONFIRMED,HTTPError,2026-07-19T13:53:49.877094+00:00,VERIFY_THEN_BUILD
DoraHacks,hackathon_and_bounty,https://dorahacks.io,public_platform,true,partial,partial,true,true,unknown,unknown,partial,true,high,high,67,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Separate direct bounties from winner-takes-all hackathons.,97.0,UNCONFIRMED,HTTPError,2026-07-19T13:53:39.835853+00:00,VERIFY_THEN_BUILD
Topcoder,software_and_data_challenge,https://www.topcoder.com/challenges,public_platform,true,true,true,false,true,partial,unknown,true,true,medium,high,48,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Prioritize development tasks with clear acceptance and multiple placement awards.,97.0,REACHABLE,200,2026-07-19T13:53:46.067761+00:00,VERIFY_THEN_BUILD
Gitcoin,web3_grant_and_bounty,https://gitcoin.co,platform,true,partial,false,true,partial,unknown,unknown,partial,true,medium,medium,72,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Verify current grants and bounty surfaces before adapter implementation.,95.0,REACHABLE,200,2026-07-19T13:53:38.797034+00:00,VERIFY_THEN_BUILD
Devpost,hackathon,https://devpost.com,public_platform,true,partial,true,partial,true,partial,unknown,partial,true,high,high,45,VERIFIED_EXISTING_ADAPTER,ACTIVE_PARTIAL,Existing adapter; prioritize fixed-price sponsor challenges over broad contests.,95.0,REACHABLE,202,2026-07-19T13:53:40.443745+00:00,IMPROVE_EXISTING_ADAPTER
Contra,freelance_marketplace,https://contra.com,marketplace_search,true,true,true,false,partial,unknown,unknown,true,true,medium,medium,54,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Verify public listing access and payment protection.,95.0,REACHABLE,200,2026-07-19T13:53:50.602967+00:00,VERIFY_THEN_BUILD
Code4rena,smart_contract_audit,https://code4rena.com,public_contest_directory,true,true,false,true,true,unknown,unknown,true,true,medium,high,50,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Contest model; score below direct fixed-price work.,93.0,REACHABLE,200,2026-07-19T13:53:41.519558+00:00,VERIFY_THEN_BUILD
Sherlock,smart_contract_audit,https://sherlock.xyz,public_contest_directory,true,true,false,true,true,unknown,unknown,true,true,medium,high,50,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Contest model; dedicated security feasibility gate required.,93.0,REACHABLE,200,2026-07-19T13:53:41.780512+00:00,VERIFY_THEN_BUILD
DataAnnotation,ai_training_work,https://www.dataannotation.tech,public_roles,true,true,true,false,partial,false,false,true,partial,medium,medium,57,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Qualification and country availability must be checked.,90.0,REACHABLE,200,2026-07-19T13:53:50.785935+00:00,VERIFY_THEN_BUILD
Grants.gov,public_grant,https://www.grants.gov,official_api,true,false,true,false,true,true,partial,partial,restricted,high,high,18,VERIFIED_EXISTING_ADAPTER,ACTIVE_PARTIAL,Existing official source; most opportunities require organizations or eligibility review.,66.0,UNCONFIRMED,URLError,2026-07-19T13:53:48.430349+00:00,IMPROVE_EXISTING_ADAPTER
