name,url,category,brazil,feed,payment,status,http_status,detail,monitor_mode,automation_boundary,initial_cost_allowed,checked_at
CleverX,https://cleverx.com/,research_participant,unknown,authenticated,study incentive,reachable,202,https://cleverx.com/,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
Respondent,https://app.respondent.io/respondents/v2/projects/browse,research_participant,verified,authenticated,Tremendous or available platform method,reachable,200,https://app.respondent.io/next/participants/login?returnTo=%2Fnext%2Fparticipants%2Fprojects%3Fsort%3DpublishedAt%26eligible%3Dtrue,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
User Interviews,https://www.userinterviews.com/hello,research_participant,possible,authenticated,study incentive,reachable,200,https://www.userinterviews.com/hello,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
dscout,https://dscout.com/participate-in-research-studies,research_participant,possible,mobile_app,PayPal,reachable,200,https://dscout.com/participate-in-research-studies,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
UserTesting,https://www.usertesting.com/get-paid-to-test,usability_testing,verified_partial,authenticated,displayed per test,reachable,200,https://www.usertesting.com/get-paid-to-test,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
Prolific,https://app.prolific.com/studies,research_studies,verified,authenticated,platform balance,reachable,200,https://app.prolific.com/studies,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
PlaybookUX,https://www.playbookux.com/participant-platform/,usability_testing,possible,authenticated,PayPal,reachable,200,https://www.playbookux.com/participant-platform/,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
Userlytics,https://www.userlytics.com/user-experience-research/paid-ux-testing/,usability_testing,possible,authenticated,test incentive,reachable,200,https://www.userlytics.com/user-experience-research/paid-ux-testing/,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
Userfeel,https://www.userfeel.com/tester-faq,usability_testing,possible,authenticated,3-30 USD per test advertised,reachable,200,https://www.userfeel.com/tester-faq,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
TestingTime,https://www.testingtime.com/en/become-a-paid-testuser/,research_participant,unknown,invitation,study incentive,reachable,200,https://www.testingtime.com/en/become-a-paid-testuser/,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
Trymata,https://trymata.com/learn/tester-faq/,usability_testing,unknown,authenticated,test incentive,http_error,500,https://trymata.com/learn/tester-faq/,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
MetroOpinion,https://www.metroopinion.com/,paid_surveys,verified_local_site,authenticated,survey incentive,reachable,200,https://www.metroopinion.com/,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
Outlier,https://outlier.ai/,ai_training,possible,authenticated,project rate,reachable,200,https://outlier.ai/,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
OneForma,https://www.oneforma.com/,ai_training,verified_global,matched_authenticated,twice monthly,reachable,200,https://www.oneforma.com/,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
Clickworker,https://www.clickworker.com/clickworker/,microtasks,possible,authenticated,task rate,reachable,200,https://www.clickworker.com/clickworker/,account_or_email_required,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
TELUS Digital AI Community,https://jobs.telusdigital.com/en/search/cfm5/ai-community/jobs,ai_training,role_dependent,public_jobs,role rate,reachable_protected,403,https://jobs.telusdigital.com/en/search/cfm5/ai-community/jobs,public_jobs,human_identity_and_individual_approval_required,false,2026-08-29T16:44:25.359897+00:00
