opportunity_id,title,category,source,url,reward_amount,reward_currency,deadline,requirements,capital_required,difficulty,estimated_hours,risk_level,success_probability,verification_score,verification_status,human_approval_required,country_restrictions,kyc_required,payment_method,recommended_action,recommendation_reason,verified_at
214,senddigidollar: integer-vs-decimal amount ambiguity is a 100× footgun,ai_integration,MCP Paid Opportunities,https://github.com/DigiByte-Core/digibyte/issues/424,10000.0,USD,,signed in to change notification settings Fork 91 Star 250 Code Issues 32 Pull requests 0 Discussions Actions Projects Wiki Security and quality 0 Insights Additional navigation options Code Issues Pull requests Discussions Actions Projects Wiki Security and quality Insights senddigidollar: integer-,0,alta,80.0,baixo,0.686,85.7,actionable,0,,0,GitHub Sponsors,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:06.414234+00:00
32,[ Bounty $3k ] [ Research ] Collect and compare AI-generated AGI architecture proposals,open_source_bounty,GitHub Reward Issues,https://github.com/aLexzzz430/Cognitive-OS/issues/5,3000.0,USD,,documented,0,baixa,8.0,baixo,0.899,81.7,actionable,0,,0,GitHub Sponsors,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:34:59.101626+00:00
36,[aLexzzz430/Cognitive-OS] [ Bounty $3k ] [ Research ] Collect and compare AI-generated,open_source_bounty,GitHub Reward Issues,https://github.com/Vikingr2023/awesome-agent-bounties/issues/167,3000.0,USD,,documented,0,baixa,8.0,baixo,0.899,81.7,actionable,0,,0,GitHub Sponsors,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:00.891883+00:00
38,[aLexzzz430/Cognitive-OS] [ Bounty $3k ] [ Research ] Collect and compare AI-generated,open_source_bounty,GitHub Reward Issues,https://github.com/Vikingr2023/awesome-agent-bounties/issues/52,3000.0,USD,,documented,0,baixa,8.0,baixo,0.899,81.7,actionable,0,,0,GitHub Sponsors,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:02.695054+00:00
19,Calculate the exact value of PI,open_source_bounty,GitHub Bounty Issues,https://github.com/xevrion-v2/agent-playground/issues/17,1000.0,USD,,signed in to change notification settings Fork 440 Star 260 Code Issues 1,0,baixa,8.0,baixo,0.89,80.95,actionable,0,,0,GitHub Sponsors,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:12.991640+00:00
186,[BOUNTY $100] 🐜The Memanto Bug & Exploit Challenge,ai_bounty,AI Agent Bounties,https://github.com/moorcheh-ai/memanto/issues/770,100.0,USD,,Pull Requests,0,média,30.0,baixo,0.768,76.85,actionable,0,,0,GitHub Sponsors,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:34:51.132248+00:00
69,Support actual payment amount confirmation and rate-shift tracking for foreign scheduled expenses,paid_development,GitHub Paid Issues,https://github.com/pedrazamiguez/split-trip/issues/1400,130.74,EUR,,properly formatted using existing locale-aware formatting utilities (e,0,baixa,8.0,baixo,0.827,75.17,actionable,0,,0,GitHub Sponsors,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:24.022895+00:00
123,Grant Application - Educating Communities by Educating Their Leaders,grant,GitHub Grant Issues,https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/356,50000.0,USD,,signed in to change notification settings Fork 9 Star 14 Code Issues 42 Pull requests 0 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights Grant Application - Educating Communities by Educating Their,0,alta,80.0,baixo,0.686,85.7,approval_required,1,,1,GitHub Sponsors,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:35:04.766319+00:00
5,[UNFUNDED: 0/2.01 USDC] Complete a machine-API paid loop,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/249,2.01,USD,,and payment,0,baixa,8.0,baixo,0.789,71.7,approval_required,1,eligibility and payment,0,"USDC, GitHub Sponsors",Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:53.038722+00:00
6,[2 USDC autonomous bounty] Complete an independent-relayer paid loop,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/250,2.01,USD,,and payment,0,baixa,8.0,baixo,0.789,71.7,approval_required,1,eligibility and payment,0,"USDC, GitHub Sponsors",Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:54.961113+00:00
7,[2 USDC autonomous bounty] Complete a browser-wallet paid loop,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/248,2.0,USD,,and payment,0,baixa,8.0,baixo,0.789,71.7,approval_required,1,eligibility and payment,0,"USDC, GitHub Sponsors",Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:57.117099+00:00
