handoff_id,handoff_type,platform,opportunity_title,url,category,payment_method,country_eligibility,handoff_status,human_step,assistant_resume_action,identity_action_owner,answers_and_recordings_owner,initial_cost_allowed,external_submission_allowed,detected_at
f9e9e839cd167a7a,authenticated_platform,CleverX,Oportunidades personalizadas da conta,https://cleverx.com/,research_participant,study incentive,unknown,LOGIN_REQUIRED_TO_DISCOVER,"Abra a plataforma, faça login na sua própria conta e avise: login concluído.","Inspecionar as oportunidades exibidas na conta, classificar retorno e preparar a execução permitida.",account_holder,account_holder,false,false,2026-09-05T17:42:48.698912+00:00
02b515836eaefa40,authenticated_platform,Respondent,Oportunidades personalizadas da conta,https://app.respondent.io/respondents/v2/projects/browse,research_participant,Tremendous or available platform method,verified,LOGIN_REQUIRED_TO_DISCOVER,"Abra a plataforma, faça login na sua própria conta e avise: login concluído.","Inspecionar as oportunidades exibidas na conta, classificar retorno e preparar a execução permitida.",account_holder,account_holder,false,false,2026-09-05T17:42:48.698912+00:00
04e9e4109a70dc06,authenticated_platform,User Interviews,Oportunidades personalizadas da conta,https://www.userinterviews.com/hello,research_participant,study incentive,possible,LOGIN_REQUIRED_TO_DISCOVER,"Abra a plataforma, faça login na sua própria conta e avise: login concluído.","Inspecionar as oportunidades exibidas na conta, classificar retorno e preparar a execução permitida.",account_holder,account_holder,false,false,2026-09-05T17:42:48.698912+00:00
84f4a6fba0136890,authenticated_platform,dscout,Oportunidades personalizadas da conta,https://dscout.com/participate-in-research-studies,research_participant,PayPal,possible,LOGIN_REQUIRED_TO_DISCOVER,"Abra a plataforma, faça login na sua própria conta e avise: login concluído.","Inspecionar as oportunidades exibidas na conta, classificar retorno e preparar a execução permitida.",account_holder,account_holder,false,false,2026-09-05T17:42:48.698912+00:00
cd936c024756197b,authenticated_platform,UserTesting,Oportunidades personalizadas da conta,https://www.usertesting.com/get-paid-to-test,usability_testing,displayed per test,verified_partial,LOGIN_REQUIRED_TO_DISCOVER,"Abra a plataforma, faça login na sua própria conta e avise: login concluído.","Inspecionar as oportunidades exibidas na conta, classificar retorno e preparar a execução permitida.",account_holder,account_holder,false,false,2026-09-05T17:42:48.698912+00:00
256db25c0ab5f663,authenticated_platform,Prolific,Oportunidades personalizadas da conta,https://app.prolific.com/studies,research_studies,platform balance,verified,LOGIN_REQUIRED_TO_DISCOVER,"Abra a plataforma, faça login na sua própria conta e avise: login concluído.","Inspecionar as oportunidades exibidas na conta, classificar retorno e preparar a execução permitida.",account_holder,account_holder,false,false,2026-09-05T17:42:48.698912+00:00
e4c639fe69aa9f6a,authenticated_platform,PlaybookUX,Oportunidades personalizadas da conta,https://www.playbookux.com/participant-platform/,usability_testing,PayPal,possible,LOGIN_REQUIRED_TO_DISCOVER,"Abra a plataforma, faça login na sua própria conta e avise: login concluído.","Inspecionar as oportunidades exibidas na conta, classificar retorno e preparar a execução permitida.",account_holder,account_holder,false,false,2026-09-05T17:42:48.698912+00:00
46fb9021528a6791,authenticated_platform,Userlytics,Oportunidades personalizadas da conta,https://www.userlytics.com/user-experience-research/paid-ux-testing/,usability_testing,test incentive,possible,LOGIN_REQUIRED_TO_DISCOVER,"Abra a plataforma, faça login na sua própria conta e avise: login concluído.","Inspecionar as oportunidades exibidas na conta, classificar retorno e preparar a execução permitida.",account_holder,account_holder,false,false,2026-09-05T17:42:48.698912+00:00
5f8b0e346c730a40,authenticated_platform,Userfeel,Oportunidades personalizadas da conta,https://www.userfeel.com/tester-faq,usability_testing,3-30 USD per test advertised,possible,LOGIN_REQUIRED_TO_DISCOVER,"Abra a plataforma, faça login na sua própria conta e avise: login concluído.","Inspecionar as oportunidades exibidas na conta, classificar retorno e preparar a execução permitida.",account_holder,account_holder,false,false,2026-09-05T17:42:48.698912+00:00
63996687851a33dc,authenticated_platform,TestingTime,Oportunidades personalizadas da conta,https://www.testingtime.com/en/become-a-paid-testuser/,research_participant,study incentive,unknown,LOGIN_REQUIRED_TO_DISCOVER,"Abra a plataforma, faça login na sua própria conta e avise: login concluído.","Inspecionar as oportunidades exibidas na conta, classificar retorno e preparar a execução permitida.",account_holder,account_holder,false,false,2026-09-05T17:42:48.698912+00:00
