source,title,organization,url,currency,minimum_amount,maximum_amount,expected_amount,payment_evidence,powershell_fit,cash_conversion_speed,estimated_hours,estimated_value_per_hour,task_score,execution_score,execution_status,execution_reason,task_matches,fit_matches,complexity_matches
github_paid_issues,"Front Yard Foods launch partner: proposal, agreements, recurring billing, and Shopify/Square architecture",johncollinsgit/TimberLine,https://github.com/johncollinsgit/TimberLine/issues/70,USD,299.0,299.0,299.0,$299,0.95,100.0,8.0,37.38,242.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: windows, script, cli, api, json, data, documentation, integration","bounty, one-time, implement, implementation, script, api, integration, documentation, test, agent, workflow, cli","windows, script, cli, api, json, data, documentation, integration",mobile app
github_paid_issues,[Bug] Inconsistency in the subscription flow depending on the user's login state,paypal/paypal-js,https://github.com/paypal/paypal-js/issues/975,USD,60.0,60.0,60.0,$60.00,0.9,100.0,4.0,15.0,170.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: script, cli, integration","bounty, one-time, bug, fix, script, integration, test, cli","script, cli, integration",
github_paid_issues,"[TASK] Add paid-acquisition transition, cap, refund, and dispute invariants",Plasius-LTD/economy,https://github.com/Plasius-LTD/economy/issues/6,,,,0.0,,0.87,100.0,5.0,0.0,176.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: api, sql, github, documentation","bounty, one-time, implement, implementation, api, sql, documentation, test, workflow","api, sql, github, documentation",
github_paid_issues,Low Handing Fruit Automation,SecureBananaLabs/bug-bounty,https://github.com/SecureBananaLabs/bug-bounty/issues/743,USD,700.0,700.0,700.0,$700,0.95,90.0,4.0,175.0,154.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: automation, github, documentation","bounty, bug, automation, documentation, github issue, pull request, agent","automation, github, documentation",
github_paid_issues,[BOUNTY $100] 🐜The Memanto Bug & Exploit Challenge,moorcheh-ai/memanto,https://github.com/moorcheh-ai/memanto/issues/770,USD,100.0,100.0,100.0,$100,0.95,90.0,4.0,25.0,306.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: script, cli, api, github, data, documentation, python, backend","bounty, reward, bug, fix, implement, implementation, script, python, api, documentation, test, pull request","script, cli, api, github, data, documentation, python, backend",
github_paid_issues,🎯 Bounty Alert: 12 New Opportunityies found,freedom-winds/BountyScout,https://github.com/freedom-winds/BountyScout/issues/119,USD,20.0,20.0,20.0,$20,1.0,90.0,4.0,5.0,170.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: automation, api, github, backend","bounty, bug, implement, automation, api, test, mcp, agent","automation, api, github, backend",
github_paid_issues,🎯 Bounty Alert: 14 New Opportunityies found,dev-kp-eloper/BountyScout,https://github.com/dev-kp-eloper/BountyScout/issues/500,USD,20.0,20.0,20.0,$20,0.95,90.0,4.0,5.0,154.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: automation, api, github","bounty, fix, implement, automation, api, mcp, agent","automation, api, github",
github_paid_issues,🎯 Bounty Alert: 38 New Opportunities — 2026-07-16 17:15 UTC,greyw0rks/bountyscout,https://github.com/greyw0rks/bountyscout/issues/282,USD,20.0,20.0,20.0,$20,1.0,90.0,4.0,5.0,154.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: automation, api, json, github","bounty, fix, implement, automation, api, mcp, agent","automation, api, json, github",
github_paid_issues,🎯 Bounty Alert: 16 New Opportunityies found,vansh-09/BountyScout,https://github.com/vansh-09/BountyScout/issues/392,USD,20.0,20.0,20.0,$20,0.95,90.0,4.0,5.0,154.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: automation, api, github","bounty, fix, implement, automation, api, mcp, agent","automation, api, github",
github_paid_issues,"Mixed-content copy bypasses table sanitizer, preserves dark theme, and blanks headers",nesquena/hermes-webui,https://github.com/nesquena/hermes-webui/issues/6063,USD,1.0,1.0,1.0,$1.00,0.95,90.0,4.0,0.25,182.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: windows, script, cli, github","bounty, bug, fix, implement, implementation, script, test, workflow, cli","windows, script, cli, github",
github_paid_issues,Dependency Dashboard,yusuke0610/devforge,https://github.com/yusuke0610/devforge/issues/339,,,,0.0,,0.95,90.0,4.0,0.0,266.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: script, cli, api, json, database, sql, github, data","bounty, bug, fix, script, python, api, database, sql, documentation, testing, test, workflow","script, cli, api, json, database, sql, github, data, documentation, testing, python, backend",
github_paid_issues,Panel Detachment Feature Request,kirodotdev/Kiro,https://github.com/kirodotdev/Kiro/issues/721,,,,0.0,,0.95,90.0,8.0,0.0,342.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: windows, script, api, database, sql, github, data, documentation","bounty, bug, implement, implementation, script, python, api, integration, database, sql, data processing, documentation","windows, script, api, database, sql, github, data, documentation, testing, python, backend, integration","react native, ios, android, kubernetes"
github_paid_issues,[Q-CONTROL-PLANE-PR-BODY-PROFILES-01] Canonicalize repository-aware PR body templates,2tbmz9y2xt-lang/rubin-protocol,https://github.com/2tbmz9y2xt-lang/rubin-protocol/issues/2503,,,,0.0,,1.0,90.0,4.0,0.0,168.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: automation, json, github, documentation, python","bounty, fix, automation, python, documentation, test, agent, workflow","automation, json, github, documentation, python",
github_paid_issues,Renovate Dashboard 🤖,drag0n141/home-ops,https://github.com/drag0n141/home-ops/issues/30,,,,0.0,,0.95,90.0,9.6,0.0,204.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: cli, database, github, data, python, backend","bounty, bug, fix, python, database, test, mcp, agent, workflow, cli","cli, database, github, data, python, backend",kubernetes
github_paid_issues,Renovate Dashboard 🤖,mrdynamo/home-ops,https://github.com/mrdynamo/home-ops/issues/1286,,,,0.0,,0.95,90.0,9.6,0.0,232.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: script, cli, api, database, github, data, python","bounty, bug, fix, script, python, api, database, test, mcp, workflow, cli","script, cli, api, database, github, data, python",kubernetes
github_paid_issues,Renovate Dashboard 🤖,tosih/home-ops,https://github.com/tosih/home-ops/issues/121,,,,0.0,,0.95,90.0,9.6,0.0,198.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: script, cli, api, database, github, data, python","bounty, bug, fix, script, python, api, database, workflow, cli","script, cli, api, database, github, data, python",kubernetes
github_paid_issues,knowledge_rebuild_from_wal leaves entity/relationship search empty until knowledge_build_indices is called,verveguy/liminis-context-graph,https://github.com/verveguy/liminis-context-graph/issues/192,,,,0.0,,0.95,90.0,8.0,0.0,264.0,100.0,priority_execution_review,"Tarefa pontual identificada.; Remuneração explícita identificada.; Execução remota identificada.; Compatibilidade digital: script, cli, json, database, data, documentation, testing, python","bounty, bug, fix, implement, implementation, script, python, integration, database, documentation, testing, test","script, cli, json, database, data, documentation, testing, python, integration",ios
